segment,matching_summary,match1_summary,match1_score,match2_summary,match2_score,match3_summary,match3_score,llm_match
"Good morning and welcome to the regular meeting of City Council for Tuesday, April 15 2025. The President and President Pro Tem of Pittsburgh City Council are both unable to attend this morning's meeting. Therefore, under Rule 5. 1 in the Rules of Council, the Clerk shall first take a roll call and then the members shall elect a temporary President Pro Tem to preside over the meeting.","The Pittsburgh City Council convened on April 15, 2025, and initiated proceedings to elect a temporary President Pro Tem due to the absence of both the President and President Pro Tem, following Rule 5.1 of the Council's Rules.","Resolution 2025-1668 approves the reappointment of Janet Evans to the Housing Authority of City of Pittsburgh Board of Directors through December 31, 2029.",0.4778480231761932,"Resolution 2024-0986 approves the reappointment of Aftyn Giles to the Clean Pittsburgh Commission for a term ending September 1, 2028.",0.4291995465755462,"Resolution 2025-1723 authorizes the City of Pittsburgh to enter into easement agreements with Duquesne Light Company and Pittsburgh Water for utility infrastructure placement and maintenance on city-owned property, sponsored by Council Member Gross and unanimously approved by the council.",0.4237349033355713,0.0
"Can a Clerk please take the roll? Mr Sharland Here. Mr Coghill Here. Ms Gross Here Mr Mosley Here Mrs Kale-Smith Here. Mrs Strasburger Here Mrs Warwick, Here Mr Wilson, Here Mr LaVelle. President, Five members present.","Roll Call for City Council meeting with six council members (Sharland, Coghill, Gross, Mosley, Kale-Smith, Strasburger, Warwick, Wilson, LaVelle) confirmed as present, with five members initially noted.","City Council received a weekly grants status update communication from Jake Pawlak, Director of Office of Management and Budget, via Resolution 2025-1734, which was read, received, and filed.",0.4040291607379913,"Resolution 2025-1725 recommends the City Council read, receive, and file the Committee on Public Works and Infrastructure report from April 9, 2025, as presented by Councilwoman Barbara Warwick.",0.3548451662063598,"Resolution 2025-1684 approves the sale of two lots on Erin Street in Pittsburgh's 5th Ward from the Urban Redevelopment Authority to the Pittsburgh Land Bank at no cost to the City, which was unanimously passed by 8 council members.",0.3499835133552551,0.0
The floor is now open to Council to elect their temporary President Pro Tem. Motion to nominate Councilwoman Strasburger as the temporary Pro Tem. Second Councilperson Strasburger will now take over as President Pro Tem.,Council Procedural Action: Councilwoman Strasburger elected as temporary President Pro Tem through nomination and seconding motion.,"RES. 2025-1724: Councilwoman Erika Strassburger presents the Finance and Law Committee's April 9, 2025 report, recommending affirmative action and seeking to read, receive, and file the matter.",0.3740960359573364,"Resolution 2025-1730 authorizes Councilman R. Daniel Lavelle's appointment of Anne Marie Ellison as a Member of the LGBTQIA+ Commission with a term ending April 1, 2029.",0.3284624814987182,"Resolution 2025-1668 approves the reappointment of Janet Evans to the Housing Authority of City of Pittsburgh Board of Directors through December 31, 2029.",0.2967920899391174,0.0
"Thank you, Good morning and welcome to the regular meeting of the City Council, Tuesday, April 15 2025.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0.0
"Please rise for the Pledge of Allegiance and remain standing for a moment of silence. I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible with liberty and justice for all. I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all. I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all. You may be seated. You may be seated.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0.0
Our next order of business is to amend the agenda. Our next order of business is to amend the agenda. Is there a motion to amend the agenda? So moved Second. All those in favor: Aye.,NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0.0
buzzing Councilman Mosley. Councilman Mosley presents.,NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0.0
"be it further resolved that the Council of the City of Pittsburgh does hereby declare Friday, May 2 2025 to be Bessie Lee Harris Day in the City of Pittsburgh. Is there a motion to approve? So moved. Second. All in favor: Aye. Those opposed: vote no. Aye, Aye. Proclamation is approved.","RES. 2025-1799: City Council unanimously approves a proclamation declaring May 2, 2025, as Bessie Lee Harris Day in the City of Pittsburgh.","Resolution 2025-1737 recognizes Bessie Lee Harris, a long-time Pittsburgh resident and community activist, by declaring May 2nd, 2025 as ""Bessie Lee Harris Day"" in the City of Pittsburgh, sponsored by Council Member Mosley and all council members.",0.8711628913879395,"Ordinance 2025-1738, sponsored by Council Member Robert Charland, proposes amending Pittsburgh's Traffic Code to clarify residential parking permit signage regulations and was referred to the Committee on Land Use and Economic Development.",0.3892279267311096,"Resolution 2025-1683 authorizes the Urban Redevelopment Authority of Pittsburgh to acquire the City's rights to a property in the 15th Ward (Block 56-B, Lot 345) at no cost, repealing a previous 2019 resolution, and was unanimously passed by 8 council members.",0.3879343867301941,1.0
"There being no further speakers, we will now move on to the presentation of papers For the first committee of the day.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0.0
"Councilperson Sharland Chair of Human Resources. Good morning, Madam President. I was going to ask. That's what I was going to ask.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0.0
"Councilperson Sharland presents Bill Number 1730. Thank you, Bill Number 1730. bill number 1739, Resolution 1739 ordinance amending the Pittsburgh Code of Ordinances, Title V- Traffic. Article VII, Parking, Chapter 549, residential parking permit program to clarify the regulations for posting of signage. And.","Councilperson Sharland presented Resolution 1739, an ordinance to amend Pittsburgh's Traffic Code to clarify residential parking permit program signage regulations.","Ordinance 2025-1738, sponsored by Council Member Robert Charland, proposes amending Pittsburgh's Traffic Code to clarify residential parking permit signage regulations and was referred to the Committee on Land Use and Economic Development.",0.7701488137245178,"Resolution 2025-1739, sponsored by Council Member Charland, proposes to amend a 2017 resolution to expand the Residential Permit Parking Program (RPPP) Area 'KK' in Pittsburgh's South Side Flats neighborhood, with the matter referred to the Committee on Land Use and Economic Development.",0.6216538548469543,"Resolution 2025-1723 authorizes the City of Pittsburgh to enter into easement agreements with Duquesne Light Company and Pittsburgh Water for utility infrastructure placement and maintenance on city-owned property, sponsored by Council Member Gross and unanimously approved by the council.",0.6027107238769531,2.0
"Bill Number 1739 resolution amending resolution 98 of 2017 providing for the implementation of a residential permit parking program, area KK in the Southside Flats to expand the streets pursuant to Pittsburgh City Code, Chapter 549. Councilman Coghill, Chair of Public Safety and Wellness. Can I waive Rule 8 or motion to waive Rule 8 on those? Motion to waive Rule 8 on On both bills, On both bills. Second, Is there a second? All those in favor of waiving the Rules of Counsel Aye, Aye Rules will be waived so that these Bill 1738 and 1739 appears on tomorrow's Standing Committee's agenda. Thank you, Thank you. Thank you.","Bill No. 1739 proposes amending a 2017 resolution to expand residential permit parking in Area KK of Pittsburgh's Southside Flats, with Councilman Coghill recommending waiving procedural rules to advance the bill to the next committee agenda.","Resolution 2025-1739, sponsored by Council Member Charland, proposes to amend a 2017 resolution to expand the Residential Permit Parking Program (RPPP) Area 'KK' in Pittsburgh's South Side Flats neighborhood, with the matter referred to the Committee on Land Use and Economic Development.",0.7932587265968323,"Ordinance 2025-1738, sponsored by Council Member Robert Charland, proposes amending Pittsburgh's Traffic Code to clarify residential parking permit signage regulations and was referred to the Committee on Land Use and Economic Development.",0.7193875312805176,"Resolution 2025-1683 authorizes the Urban Redevelopment Authority of Pittsburgh to acquire the City's rights to a property in the 15th Ward (Block 56-B, Lot 345) at no cost, repealing a previous 2019 resolution, and was unanimously passed by 8 council members.",0.5709588527679443,1.0
"Thank you very much, Councilman Coghill. No new papers, Madam Chair.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0.0
"Thank you very much, Councilwoman Gross. Councilman Mosley. for Councilwoman Gross: No, I'm sorry. yes, I'm sorry. Can you hear me? We can hear you now. Oh, I apologize. No papers, Madam President.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0.0
"Thank you very much, Councilman Mosley. Chair of Intergovernmental and Educational Affairs Committee. Thank you, Madam President. Agenda Achieved Agenda, Agenda 3 of 2. Mississauga, at the National Tourism Summit in 2009, was recognized as a State of the Land in 2015. The Board and the Council were recognized on August 19, 2014.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0.0
"Councilman Coghill- Yes, Councilman Coghill- Yes. Councilman Coghill, chair of intergovernmental and educational affairs committee. thank you, madam president.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0.0
"councilman Mosley presents bill number 1727 resolution authorizing the Pittsburgh land bank to acquire all the city's right, title and interests, if any, in into the publicly owned property in the 30th Ward of the city of Pittsburgh, designated in the deed registry office of Allegheny County as block 33 K, lot 128, 219 Reifert Street. council, district number three, at no cost to the city.","Bill No. 1727 authorizes the Pittsburgh Land Bank to acquire city-owned property at 219 Reifert Street in the 30th Ward of Pittsburgh at no cost, as presented by Councilman Mosley.",RES. 2025-1727: Councilman Khari Mosley recommends authorizing the Pittsburgh Land Bank to acquire city-owned property at 219 Reifert Street in Pittsburgh's 30th Ward at no cost to the city.,0.9255812764167786,"Resolution 2025-1686 approves the sale of a land parcel in Pittsburgh's 11th Ward from the Urban Redevelopment Authority to the Pittsburgh Land Bank at no cost to the city, which was unanimously passed by 8 council members.",0.65314781665802,"Resolution 2025-1683 authorizes the Urban Redevelopment Authority of Pittsburgh to acquire the City's rights to a property in the 15th Ward (Block 56-B, Lot 345) at no cost, repealing a previous 2019 resolution, and was unanimously passed by 8 council members.",0.6450303792953491,1.0
"and councilwoman Kale Smith, chair of recreation, youth and senior services committee. councilman Mosley. for a councilwoman Kale Smith: none new papers. madam president, thank you very much.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0.0
and my committee finance and law. can we have council person Warwick for my committee?,NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0.0
"council person Strasburger presents bill number 1728 resolution authorizing the mayor and the city solicitor to enter into a professional services agreement with Fragman del Rey, Burnson and lowly LLP in an amount not to exceed forty thousand dollars over one year for professional services in connection with immigration matters you.","RES. 1728: City Council authorizes professional services agreement with Fragman del Rey, Burnson and Lowly LLP for immigration legal services, not to exceed $40,000 over one year.","Resolution 2025-1728, presented by Councilwoman Erika Strassburger, authorizes a professional services agreement with Fragomen, Del Rey, Bernsen & Loewy, LLP for immigration-related services, not to exceed $40,000 over one year.",0.7674035429954529,"City Council received a weekly grants status update communication from Jake Pawlak, Director of Office of Management and Budget, via Resolution 2025-1734, which was read, received, and filed.",0.3006175458431244,"RES. 2025-1735: City council received and filed the Equal Opportunity Review Commission Quarterly Report submitted by Felicity Williams, Deputy Chief of Staff, covering the period ending March 31, 2025.",0.2900672256946563,1.0
"next we have councilwoman Barb Warwick, chair of public works and infrastructure committee. thank you, councilwoman Warwick.",NO_SUMMARY,NO_SUMMARY,0.0,NO_SUMMARY,0.0,NO_SUMMARY,0.0,0.0
