sentence,classification
Good afternoon.,x
"Welcome to Pittsburgh City Council's cablecast post agenda on the Vision Zero annual memo for today, April 8th 2025.",x
"We'll start off with our guests, if you all want to introduce yourselves, and then I'll let you kick it off with your presentation.",x
"Stephanie Gagne, Management Analyst for the City.",x
Angie Martinez: I'm Assistant Director with the City's Department of Mobility and Infrastructure.,x
"Or Domi Panini Aminchotri, Senior Planning Manager of Transportation, with Domi Takina Wai, Assistant Director of Public Safety.",x
Lisa Frank: I'm the City's Chief Operating Administrative Officer.,x
"Matt Jengieski, Director of Enforcement and Meter Services with the Pittsburgh Parking Authority.",x
"Okay, go ahead.",x
"All right, thank you.",x
"All right, let me get started here.",x
So we are going to run through information.,x
"We're going to start with a presentation today talking about why we chose Vision Zero as our strategy to achieve zero traffic fatalities and serious injuries, what our commitment looks like- our first year, our intergovernmental working group and Vision Zero subcommittees, as well as 2025 and beyond.",x
All right.,x
So the reason we chose to commit to Vision Zero Last year.,x
Mayor Gini has been consistent that his North Star is making Pittsburgh the safest city in America.,x
We can only do this by making sure this touches all aspects of public safety.,x
"So, on average, each year, 20 people are killed due to crashes and about 123 people are seriously injured.",x
We know this number is unacceptable and the only acceptable number is zero.,x
"By committing to Vision Zero, we are committing To solving this problem through a holistic approach and establishing partnerships across sectors to solve this issue.",x
"So, as I mentioned last March, Mayor Gini and Council Member Warwick partnered to pass legislation that formally commits the city to Vision Zero.",x
This legislation also directed departments to form an interdepartmental working group that we have now formed and we will get into a little bit later in this presentation.,x
So we have a new working group that we have now formed and we will get into a little bit later in this presentation.,x
This is a new working group that we have now formed and we will get into a little bit later in this presentation.,x
This is a new working group that we have now formed and we will get into a little bit later in this presentation.,x
"Pittsburgh now joins multiple other cities throughout the Commonwealth, for example, Bethlehem, Harrisburg, Lancaster and Philadelphia, in adopting Vision Zero.",x
"Pittsburgh now joins multiple other cities throughout the Commonwealth, for example, Bethlehem, Harrisburg, Lancaster and Philadelphia, in adopting Vision Zero.",x
We are also joining cities from all across the United States as well as other countries.,x
"So the purpose of our blossoming mission, passion and survivalp company to be creative is based on ideas, based on theétait tal catastividade, Mueller, Combat, doubt and its recite flute firm Pip Pope is the direct weapon that gives resources to the effective people in Washington Army.",x
"Sorry of our working group is to make sure we're eliminating interdepartmental and interagency barriers to collaboration so that we can design and implement engineering, educational and enforcement solutions to ensure zero drivers, pedestrians or cyclists are killed and seriously injured on our streets.",x
"we've established this working group with director level leadership from various departments and agencies, including the mayor's office, city council, the department of mobility and infrastructure, public safety, the police, public works, the law department, the department of innovation and performance, the office of management and budget, the department of city planning, parking authority, allegheny county, penn, dot pittsburgh, regional transit and the southwestern pennsylvania commission.",x
"so, as you can see, these are a vast leadership majority that we're working together to achieve vision zero and this group really sets the vision and assigns work to representatives on more of a staff level in our subcommittee so that they can work on things on a more day-to-day basis.",x
"so, getting a little bit into each of our subcommittees, one of the ones we knew we had to establish right off the bat was one dedicated to enforcement.",x
"so, as you can see, we we have representatives from the mayor's office, council, omb, domey, police, public safety, imp and the parking authority.",x
one of the things that we really wanted to kick off immediately with this subcommittee was automated red light enforcement.,x
"so, as of last fall, we had legislation introduced and passed that authorized automated red light enforcement at the local level, and we're working with the subcommittee to get that done.",x
and we're working with the subcommittee to get that done.,x
and we're working with the subcommittee to get that done.,x
and we're working with the subcommittee to get that done.,x
and we're currently in the process- the bid process- for selecting a vendor to launch that program this year.,x
"so we'll be able to launch to multiple locations- see how that goes- and we will be joining other cities in the commonwealth as well, like philadelphia, who has shown that this kind of program can help to reduce crashes and especially fatal and serious injury crashes.",x
"we're just quickly just to mention that we've been joined by council member mosley, so thanks.",x
"we're just quickly just to mention that we've been joined by council member mosley, so thanks, thanks.",x
we're also working on an education and enforcement program.,x
"i'm partnering with our police, our safer together coordinators in public safety, as well as our zone councils to look at the parking issues in particular of each neighborhood.",x
"so, for example, if you have a lot of sidewalk parking in your neighborhood, maybe people are parking on the ada ramps.",x
"what we're doing for this particular program is going to be educating our neighbors first and foremost, because a lot of people don't understand that when you park on a sidewalk or you're blocking an ada ramp, you are making it very unsafe for people walking using mobility devices as well as pushing strollers and things like that.",x
"so we would like to start with educating before moving into partnering with our police to enforce, if necessary, and write tickets.",x
we will also be starting to coordinate advocacy efforts at the state level for automated speed enforcement.,x
"that's something we'd really like to, that's something we would really like to be allowable by the state and that currently isn't authorized for pittsburgh.",x
i'm so looking into what kind of advocacy efforts we need to do to make sure we have all tools in the toolbox for enforcement.,x
"oh sorry, we've also been joined by councilman gross as well.",x
thank you.,x
"moving on to our next subcommittee, we established a budget subcommittee that includes members from the mayor's office, council, omb, domi and dcp, and a few things we've been working on on the budget subcommittee in particular is around the grants process: working to improve the process internally, making sure that we have very simple things like a centralized sharepoint tracker for grants, that we are setting strict go or no go deadlines so that we are being efficient and effective with our grant applications.",x
we've also engaged domey's complete streets advisory group around the budget and we will continue to do so.,x
"last year we engaged with them around the draft budget and they came back with recommendations for us, which was much appreciated.",x
"we've also been able to secure millions of dollars in funding for vision zero initiatives, whether through grants or through the regular operating in capital budgets for things like automated red light enforcement, sidewalks and traffic calming.",x
"our next subcommittee that we established is education, engagement in communications, and this one is probably our largest group with representatives from the mayor's office, council, omb, domi, public safety, city planning, allegheny county.",x
we have been doing a number of initiatives through this subcommittee.,x
"first and foremost, we wanted to engage students and their families.",x
"so, building upon domey's pre-existing safe routes to school program, we partnered with the safe routes to school coordinator to create trifolds for walk and roll to school day in the fall so that we could educate kids and their families about safety and safety in the school district.",x
"and we've also engaged with the education engagement in communications and the school district so that we could educate them about safe travel when they're getting to school, to and from school, as well as general road safety.",x
"so some of our members of our committee were stationed outside those schools so that when parents were coming up to drop their kids off, we could have conversations with them and hand out information.",x
"we'll be continuing to do that in the spring as well and working with them during safe routes to school safety week, which happened just last month.",x
to create vision zero pledges for the.,x
"We've also recently launched a community safety agreement which is available on the Engage page- the Vision Zero Engage page- that commits residents and people traveling through our city to driving safely, following all traffic signals and stop signs, wearing your seat belt, And that is paired with statistics about safe driving.",x
"So people may not know that a majority of our crashes, or a decent number of our crashes, if not the majority, are caused by red light running.",x
I think it's around 35%.,x
So things like that that bring light to the issue but also have an action item for people to take to become further involved in Vision Zero and do their part.,x
We're going to be continuing to work with the Complete Streets Advisory Group.,x
"as they get up and running, They're going to be working with their new member chair.",x
We're going to use them as a sounding board as well for all of our work and initiatives.,x
Our Community Ambassador Program is currently in progress.,x
We are working to execute our Safe Streets for All grant agreement with federal DOT.,x
"So once that is executed we can begin that process of an RFP going out for our projects listed within that grant And then we can start to work with our community ambassador program, which will be basically sending folks out to priority neighborhoods, making sure that that education piece is really being worked on in the neighborhoods that are most needed.",x
We plan to launch a safe driver training for city staff.,x
We are looking to make it required for staff that have to drive for their jobs.,x
"We are just starting that process now of what that would look like, But we'd also love to open up for a new driver.",x
"We're going to open it up to other staff who drive, just not for work to make sure that we are all on the same page when it comes to traffic safety and driving safety.",x
"And finally, a community traffic calming toolkit.",x
We'd like to work on this to empower residents to be able to make quick build traffic calming in their neighborhood.,x
So we have actively applied for a grant for this opportunity.,x
"We're waiting to hear back And, depending on the results of that, we'll hopefully be looking into launching that this year.",x
And I should note we're joined by Councilwoman Strasburger.,x
"Thanks, Finally, our last subcommittee includes the Fatal Crash Response Team.",x
"So that includes a number of our departments: the mayor's office, the police collision investigation unit, DOMI, OMB, DPW, the SPC and the county or PennDOT, depending on whose road it is.",x
So for this subcommittee it's a little bit different than the rest.,x
We only meet when there is a fatal crash.,x
"Within two weeks of a fatal crash occurring, we'll go out and complete a site visit And we have a standardized process.",x
"So at those site visits we have a questionnaire basically that we fill out And to make sure that the data that we are collecting for each fatal crash is consistent, we are making sure that we are communicating our updates on the Vision Zero Engage page in a formalized way, as well as our public safety information officers communicating each time a fatal crash occurs that our team will be going out and completing a site visit.",x
"Since the launch of this group, we've completed six site visits in 2024 and four so far in 2025.",x
We are now in the process of completing three site visits in 2021.,x
So we are now in the process of completing three site visits in 2021.,x
I just wanted to share a quick example because I think it's easier to understand when you have visuals.,x
"So this is one of the ones we did early last year, early on in our process, at the Boulevard of the Allies and Marion Street, just down the street from us.",x
"We had two fatal crashes here last year And, as you can see on the left-hand side, that is the before.",x
So you can see that left turn lane.,x
That's actually an emergency-only lane.,x
"There is signage up, but the pavement markings only showed just a white diamond, which may have been confusing to folks.",x
"So what we did was work with PennDOT because it's their road, And we worked with them to get some yellow hatching to make it very clear that you should not be using this left turn lane as a turn lane or a turnaround.",x
We got increased signage up and we haven't seen any fatal crashes since.,x
"So we're going to go ahead and get started, Thank you.",x
This is also just a local example of Paulson and Rowan Street.,x
We had seen a fatal crash here.,x
Somebody driving- we believe that he may not have known there was a curve.,x
"So what we did was make sure that there was signage there to really make clear that you need to slow down, Do not speed through this intersection because there is a curve ahead.",x
So just making simple fixes can make it much safer.,x
"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",x
"And just to sum up, last year, which was year one of the initiative, we did see a decrease in traffic fatalities last year, with 17 total fatal crashes.",x
"Like I said, we know this number is 17 too many.",x
"It needs to be zero, But we're hoping this is on the right track And we know that the work is just beginning and it's not going to happen overnight overnight, but we feel we are making progress, breaking down barriers to coordination and we're looking forward to further collaboration with agencies, organizations and community members to achieve our goal.",x
"going into a little bit about our upcoming goals, we will be hosting a vision zero summit, a one-day summit with bike pittsburgh in fall of 2025, which we're really looking forward to.",x
this will be a great opportunity for people to come out and learn more about the work we're doing and help kind of plan for the year ahead.,x
we'll be working on drafting and submitting a vision zero budget ask for 2026.,x
"that's cross-departmental, so it's not all just going to come from one department, because this is truly a cross-departmental issue.",x
we'll be expanding the reach of the fatal crash response group by reviewing the data and the data that we're going to be using to help us with that.,x
"and we're also doing serious injury crashes and high crash police zones, starting with zone 2 with the intent to expand city-wide.",x
so making sure we're solving for the problem of that data lag by meeting on a more quarterly basis with commanders who can tell us what's going on in their zones.,x
"and finally, we'd like to establish a subcommittee that is focused on policy and legislative priorities so that we can make sure we're doing everything in our power to create safer streets in pittsburgh.",x
"so we do have the memo up on the vision zero engage page, along with our community safety agreement, which we encourage everybody listening to fill out, and i believe the memo will outline all of our action items.",x
"they are color coded and we do have a majority of them that are either completed or on track for 2025 and for the rest of them, we're looking forward to getting those on their way.",x
thank you great.,x
thank you very much.,x
does anyone else have anything to add?,x
before we move to to questions from members?,x
"no, okay, thank you.",x
i want to thank you everyone for being here today.,x
thank you for that a very detailed presentation.,x
"my first question is: you know, whether here locally or nationally, what is your role in this situation?",x
