sentence,classification
"Good morning and welcome to the standing committee's meeting for Wednesday, April 16- 2025.",x
"All council meetings will be will be live streamed on the city's website and, for those joining us at the table, please do not turn off your microphones.",x
Our first order of business is roll call.,x
Will the clerk please take the roll?,x
"Mr Sharland Here, Mr Coghill, Ms Gross Here, Mr Lavelle, Mr Mosley Here, Mrs Kale-Smith, Mrs Warwick, Mr Wilson, Mr Sharland, Ms Strasburg Or chair Here.",x
Four members present?,x
"Okay, Now we have Councilman Wilson joining remotely.",x
"Thank you, Hi, Erica.",x
"Hi, Chair, I'm here, Thank you.",x
"Thank you, Okay, Five members present.",x
"Thank you, Madam Clerk.",x
Our next order of business is public comment.,x
"I would like to remind all speakers that rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before City Council.",x
Profanity will not be permitted.,x
Please state your name and neighborhood for the record.,x
You will have three minutes to speak.,x
Our first registered speaker is Azasha Mennefield.,x
We don't see them online.,x
"We do not see Azasha Mennefield in the chamber, So we will now move on to those in the chambers wishing to speak.",x
Please approach the podium.,x
"Good morning, My name is Yvonne F Brown.",x
"I live at 715 Mercer Street, up at the top of the hill That's Crawford and Bedford- Red alert.",x
"My councilman is not here, but there are two of you sitting here looking at me.",x
I want you to please tell my councilman that you come down to Bedford.,x
You got one One side of the hill.,x
you go down One.,x
you're supposed to come up.,x
"Well, about 830 last night I happened to be looking down and I seen two cars going down Bedford at the same time.",x
One that's not supposed to go down there.,x
"There is a—the only reason why I'm bringing that up, because if you don't know about that area, you can get mixed up And I see where, if they just put even an arrow to point one down, you got to go this way.",x
There was two of them.,x
How about that?,x
"Actually, One of them was going down and one's supposed to be coming up.",x
They were going down at the same time.,x
That person on that left-hand side did not know it And we do need a sign.,x
"I wish you would—if one of you would go up there and actually look If you're coming down, you would not know it.",x
I know it because I live there.,x
But please- I've seen a couple cars go down there before.,x
"Also, I'm still upset about Corey.",x
Now this is Corey's.,x
He's running for mayor.,x
"I couldn't find the one of Ed Ganey, but it was dark like this.",x
See this blackness.,x
This is how they made dark—made- the mirror.,x
"I don't care for the mirror myself, but right, don't wrong nobody.",x
"They're trying to put fear into us that he's dark, sinister, something's wrong with him, Whereas with Corey they got him, Oh, his natural color.",x
But they made Ganey.,x
"See, you just play the race card and you say: we do.",x
I didn't think about that until I seen it.,x
I said how the mayor gets so black?,x
They made him that way.,x
He's not that color And I want you to understand.,x
we as black people see it.,x
"You just might pretend like: oh, we don't—we didn't do it.",x
But we see what's happening.,x
That man is not that dark.,x
How come he got all black just before it's time for him to run for election?,x
The same way with Petit Up in his—up in our area.,x
he got a big sign for Petit.,x
He got a big sign for Petit.,x
He got a big sign for Petit.,x
He got a big sign for Petit.,x
He got a big sign for Petit.,x
He got a big sign for Petit.,x
"For Petit, he's running.",x
"Well, let me tell you who else is running This man: Jeff Woolwolf, W-O-O-D-A-R-D.",x
Now someone- one of the residents in my building- told me he was in the building the same day that Lavelle and his man was in the building.,x
This man is running for Petit's job.,x
Now I have a problem with Petit Because of him.,x
"we have that actor, the bad actor that keeps coming.",x
"That bad actor, That bad actor, That bad actor, That bad actor, That bad actor, That bad actor.",x
"And he was coming in the building because the police said, not me, they're dropping the ball.",x
"He said Arbor and Petit, And he is dropping the ball.",x
And the reason why I'm saying that I've got one more.,x
"My time is up, But anyway, please help us, Please.",x
Thank you very much.,x
"Next speaker, please.",x
"Next speaker, please.",x
Thank you very much.,x
"Next speaker, please.",x
Good morning.,x
Special Agent Sunshine.,x
how's everybody?,x
Everybody's not here.,x
"God, you're amazing.",x
I know what you're doing in the background.,x
"Lord, please protect me from the voodoo, hexes, curses that may be sent towards me in this chamber.",x
I return them to send a 100 million billion trillion Google Plex And whoever's sending them.,x
throw them into a lake of fire.,x
"In Jesus' name, I pray Amen.",x
I'm going to start with the wisdom for today.,x
It comes from Proverbs 21: 13.,x
It says those who shut their ears to the cries of the poor will be ignored in their own time of need.,x
A lot of people being ignored.,x
It's not good.,x
God is very angry about it.,x
God blesses us so that we might bless others.,x
"My cup runneth over because I'm here to be a blessing, Not to get blessings.",x
You can't get one without being one.,x
It doesn't take an hour to preach that A woman of character loves herself above all others.,x
We love God and ourselves.,x
"But in this world that we live in today, we have misogynistic men who have a problem with women: Strong women, Independent women, Educated women, Saved, Celibate women.",x
They have a problem with us.,x
You know why?,x
Because God created us for them.,x
God created women for men.,x
"It'll never be the other way around, And misogynistic men have a real big problem with that.",x
"Well, if I'm the problem, I'm going to be the brightest, shiniest problem a misogynistic man will ever have, And the one I speak of today.",x
his name is James Engle.,x
"He's the man who runs the Northside Overflow Shelter, who is a misogynistic man.",x
He had a problem with me leaving and his employees helping me with my luggage.,x
He wouldn't let them do it.,x
"It was very, very ugly, And Maya Angelou once said: you never forget what people say, but you will always remember how they make you feel.",x
And the way he made me feel Was stronger.,x
You know why?,x
Because I moved everything that I had to move myself.,x
Because I praise God for my health and my strength In Jesus' name.,x
"I pray that he has the health and the strength that he's going to need for the karma that's coming for him, For how he treats people, Especially women.",x
Proverbs 31.,x
10 says an excellent wife who can find she is far more precious than jewels.,x
I'm not married yet.,x
"I'm kind of running from men, But God is stopping me at my trace.",x
Amen In Jesus' name.,x
Amen.,x
Thank you very much.,x
"Next speaker, please Are there any further speakers Seeing none.",x
we will now move on to our standing committee's agenda.,x
Our first committee is the Finance and Law Committee And we have one deferred paper: Bill 1634.,x
Bill 1634 resolution repealing an item in resolution number 512 of 2022.,x
"Effective date: September 23, 2022.",x
in order to rescind the sale.,x
Motion to approve discussion.,x
"Move a second, Oh, second Second With discussion, Councilman Coghill.",x
