sentence,classification
"Good morning and welcome to the regular meeting of City Council on Tuesday, April 1st 2025.",x
Will the clerk please take the roll?,x
"Mr Sharlin Here, Mr Coghill Here, Ms Gross Here, Mr Mosley Here, Mrs Kale-Smith, Mrs Strasburger Here, Mrs Warwick Mr Wilson, Mr LaValle, President Here, Five members present.",x
"Thank you, Please rise for the Pledge of Allegiance.",x
Remain standing for a moment of silence.,x
I pledge allegiance to the flag of the United States of America and to the republic for which it stands: one nation under God.,x
"one nation under God, indivisible, with liberty and justice for all.",x
Thank you very much.,x
Our next order of business is to amend the agenda.,x
Is there a motion to amend So moved?,x
"Second, All those in favor say aye, Aye.",x
The agenda has been amended.,x
"Our next order of business is proclamations, and we have one today.",x
"So will all the wonderful women of Delta, Sigma, Theta, Sorority Incorporated please come forward.",x
"Yes, bone injury site Area.",x
Come to the left hereabugeesalawebs dinner.,x
"Mr Hitler, Mr, Yes, It will be tight, but you can all fit.",x
"Ms Oliver, Is everybody in a red?",x
all in favor?,x
Let's go withteri.,x
everyone already can come forward if they want to come on.,x
"everybody, we can come down here.",x
"it's cramzing morning, ladies, you all look so sharp.",x
can we have the committee up front?,x
committee up front.,x
"there you go, you're good.",x
"before reading the proclamation, what i'll simply say is one: as i watched you all come forward, i did not realize how many deltas actually knew, so i want to thank you all for all the wonderful work that you all do here within our city.",x
"i want to thank you for your commitment to our city and we want to take a moment to recognize your organization, as well as delta days.",x
whereas the city of pittsburgh takes great pride in recognizing and celebrating the distinguished legacy and ongoing impact of the pittsburgh alumni chapter of delta sigma theta sorority incorporated and its members as they commemorate delta days in pittsburgh 2025.,x
"whereas delta sigma theta sorority incorporated was founded on january 13 1913 by 22 visionary collegiate women of african descent at howard university, who committed themselves to the principles of scholarship, sisterhood and service.",x
"whereas for more than a century, delta sigma theta sorority incorporated has remained at the forefront of social change, guided by its five-point programmatic thrust, which focuses on economic development, educational development, international awareness and involvement, physical and mental health and social action.",x
"whereas the pittsburgh alumni chapter, charted in 1927, has, for nearly a century, demonstrated, through its members, unwavering dedication to advancing the public good, meeting the involving needs of the community through innovative programming, bold advocacy and a steadfast commitment to social justice.",x
"whereas delta sigma days in pittsburgh serves as an extension of a nationally recognized tradition that engages delta members in meaningful dialogue with civic leaders at every level of government, including the united states capital, state legislators and the united nations, and reflects delta sigma theta sorority incorporated its continued mission to promote leadership, advocacy and empowerment to affect social change and policies.",x
"whereas delta sigma theta sorority incorporated boasts an international membership exceeding 350 000 women of distinction, with more than 275 members belonging to the pittsburgh alumni chapter.",x
"these members have made notable contributions to career development, esasbourne tra coded, to civic life, education, health, equity and social impact in Pittsburgh, serving across sectors while exemplifying the highest standards of public service and community uplift.",x
"And now, therefore, be it resolved that the Council of the City of Pittsburgh does hereby declare April 1st 2025 to be Delta Sigma Theta Sorority Day in the City of Pittsburgh.",x
May we have a motion So moved.,x
"Second, All those in favor say aye, Aye, It is approved, congratulations, Thank you.",x
"I believe let's see All right, here we go, Thank you.",x
"I'd like to say thank you to the City Council of Pittsburgh, City Council of Pittsburgh, for this incredible honor.",x
Receiving this proclamation from the City of Pittsburgh is not just a reminder.,x
"a reminder of Delta, Sigma, Theta, Sorority and its acknowledgement of the collective efforts of our members and the communities we serve.",x
"This proclamation underscores the importance of civic engagement, empowerment and service, of all values that are at the heart of our organization.",x
"We will take this recognition as a source of motivation, reaffirming and a source of hope.",x
"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",x
"Hi, I'm Tracy.",x
HonUSE me want to present to you is the City Council of Pittsburgh's and the City Council of Pittsburgh's- managed community capital and investment committee.,x
"Community capital is publisher and owner of Seniorizingz to the children, the families, the advising and any other five- appelle eight.",x
that said it over.,x
"We are committed to 88 years of chief policy, eternally keeping risk and ül to promise with balance and integrity as best we can.",x
"Thank you So, so much.",x
"Thank you so very much once again for this meaningful recognition and for the support of our mission, service and advocacy.",x
together we can continue to build a better Pittsburgh.,x
I thank you.,x
"I'm gonna ask members to come up, but just want to remind us all that their purpose here today is actually to engage us, and so after our meeting, I believe at 12 and at 1, maybe, just do.",x
"okay, some of the members were actually going to stay to have a conversation with us back in our conference room about what's happening in our city and concerns they have and how we can collectively work together.",x
so I just want to remind members of that.,x
"if we'd all be willing to come up for a picture, you hold it, Chris, hold on one second.",x
"nope, nope, they're still.",x
they're still organizing.,x
"we gotta, we gotta.",x
"yeah, you can't see us, we can't see you there.",x
"we go, all right, look at me, keep smiling, smiling, you won't you?",x
"you, Yeah, Yeah, Oh man, I got like a smudge.",x
"Thank you, Strong group.",x
"That's a strong group, And we have two proclamations to be read into the record, both from Councilwoman Smith.",x
Councilwoman Teresa Kale Smith presents.,x
"be it further resolved that the Council of the City of Pittsburgh does hereby declare Thursday, April 3rd 2025 to be Michelle Wednesday Day in the City of Pittsburgh, And she also presents: be it further resolved that the Council of the City of Pittsburgh does hereby declare Wednesday, April 2nd 2025, to be Shamika Zire Day in the City of Pittsburgh.",x
May we have a motion to approve So moved.,x
"Second, All those in favor say aye, Aye, Any opposed.",x
Both proclamations have been approved.,x
Our next order of business is public comment.,x
"I would like to remind everyone that the rules of council state that comments are limited to matters of concern, official action or deliberation which may before City Council.",x
Profanity will not be permitted.,x
"After you recall, please restate your name, provide your neighborhood for the record.",x
You'll be given three minutes to speak.,x
Our first And actually only registered speaker is Dr Ronald Miller.,x
"Dr Ronald Miller, the Mexican War Streets, Teotihuacan, Mexico, University of Pittsburgh, theory of sports inventor and instructor and the Global Intelligence Society candidate for president in 2028 Global Information Intelligence Networknet.",x
"Concerns of council include a focus on the child and also baseball, given Mr LaBelle's will of council on Roberto Clemente in February.",x
"This is consistent with my initiative four, where I think the child must come first, locally and nationally.",x
The Pirate opener is three days away against the Yankees 1960.,x
"the Pirates won against the Yankees Y9, P9.",x
ninth inning- Numbers are not in the game.,x
"Number nine: Mazeroski hits a home run in the greatest game in the history of baseball, I think Roberto Clemente.",x
"in 1971, after the World Series win, fusing Espanol and English, he said this: If I was president of the United States, I would build a sports city and take in kids from all ways of life.",x
Why not?,x
"We in the city and the country need Clemente's intense, non-slop fusion of high info and high Q intelligence.",x
Number 21 Pirates play fused 21 information and intelligence vectors.,x
"Roberto Clemente, the thrower, strategically chose the trapezoidal geography of right field more than left field and center field because it maxed outing runners.",x
"If you have had to strike out of a five-year argument, I would like you guys to carefully why you're sticking in in training.",x
I think you'll understand that We can tied.,x
"for if we can tie, Hello, Excellent.",x
I think two of those are amazing.,x
Do we have any?,x
should be to predict his Baltimore team.,x
"I think we should consider or more of a- I'd like you to pay attention instead- Or, if you don't have any, try a little bit longer, even harder, like jedlina Jimenez, I see você Speak up.",x
"I see Joseph Cceviewer, You have to put a little Hein Underto.",x
"Oh, father And better man, And good night to you, to everybody, Thank you for for yourommeinkle 83.",x
"Thanks over cowhide and cotton seams, no muscle bulk, whiplash arm, a physics baseball bullet, projected using electrophysical energy produced by his brain, neural and bio-semantically tightened and chemically infused with fruit honey and other elements.",x
He threw this ball and it got there before the runner.,x
"If only the person was running as fast as Asafa Powell, and I think we need this kind of thing in the city.",x
"I think we need his light and not his darkness, not his fatalism.",x
Thank you very much.,x
That exhausts our list of registered speakers.,x
"If there's anyone in chambers wishing to speak, please come forward at this time.",x
Provide your name and neighborhood for the record.,x
"Hi, my name is Bernadette.",x
Good to meet you.,x
The past week I had to do some heavy duty research of my soul and of what's in front of us And I no longer support Cory O'Connor.,x
I am 100% for Ganey for his bold move and wanting to make inclusionary housing citywide.,x
Back in 1996 my family and I were in the heart of fighting against then Frank Gigliotti and Harry Reed Shaw when they wanted to go back to segregated neighborhoods.,x
"Ganey's bill is the only bill that will give these kids hope, Going back to neighborhoods, young families who cannot get into housing because they have a family of children.",x
"it's not working And sadly enough, there are people working for Cory that are involved with these pro-housing programs.",x
I was a member of a pro-housing group under YIMBY.,x
I was called a NIMBY.,x
There was a statement that was made when I asked: don't you support people having the right to vote on zoning changes and coding changes?,x
Because that's what this movement is all about.,x
And I was told a person's right to vote on zoning and coding changes should not go beyond their property line.,x
And I was told that's not the right thing to do.,x
And I was told that a person's right to vote on zoning and coding changes should not go beyond their property line.,x
"Bullcrap, That spells segregation to me.",x
"Thank you, Ed Ganey.",x
"There is so much more to what's happening, but I will not, as long as there is a breath in my body, see our community go back to segregated neighborhoods when Washington is trying to take away every kind of— every kind of- inclusionary chance that these kids have.",x
"And I'm sorry, Cory, but I'm not going to get into it.",x
I want you to take that pen and paper And I'm not going to get into it.,x
"I want you to take that pen and paper, But I want you to take that pen and paper.",x
"If you have a chance, just press the button.",x
"It is now, It is now.",x
It is now.,x
"It is now, It is now, It is now, but neighborhood by neighborhood, inclusionary housing decodes to segregation.",x
"thank you, thank you, next speaker, please.",x
"good morning, special agent sunshine.",x
i just wanted to give any and everybody who does not know when the next port authority public meeting is.,x
"i was able to find it because none of the drivers, supervisors, anybody knew.",x
the next planned and stakeholder relations committee port authority meeting is april 17th at 8: 30 am.,x
it doesn't say where.,x
"please google it, look it up.",x
i just found the date and the time.,x
what did we find?,x
"we will at this moment, as we can, Magazine it out.",x
But guess what?,x
"I do have A heart, Which is something neither of you have, Because there's over 47,000 people in this state in the street And we just got back out of the overflow shelters yesterday And I'm one of them.",x
God is making y'all look at me.,x
"His favor, real, I stand on it.",x
"1 Samuel 16: 7 says people look at the outward appearance, but the Lord looks at the heart.",x
That's what he looks at.,x
He's the one that makes it beat.,x
He's the one that gives you every breath you take.,x
But y'all take that for granted.,x
So now he wants to know who's the next heart.,x
"he gonna stop Those heart and hearts, The ones that don't see the poor, Those He's stopping them.",x
Just wanted me to bring you that message.,x
Here's some wisdom for you.,x
Proverbs 21: 13 says Those who shut their ears to the cries of the poor will be ignored in their own time of need.,x
"Get ready for it, Because y'all coming out here with us.",x
"I promise you he's not playing with y'all, Y'all coming.",x
People are gonna be amazed to see y'all out here with us too.,x
It's not gonna be a shock.,x
"Proverbs 21: 21 says Whoever pursues righteousness and love finds life, prosperity and honor.",x
And that's what I'm out here pursuing.,x
"I'm out here pursuing justice, violence and law.",x
But he's dancing with the world as God has put his love on y'all.,x
"All right, He's dancing with the world as God has.",x
God has put his love on y'all.,x
I'm dancing with the world as God has put his love on y'all.,x
"My family is across the Thank you Next speaker, please.",x
Good morning.,x
"My name is BJ Sampson and I live in the 11th Ward, 4th District, Proud to have Kahari Mosley as my council representative, But I stand before you today representing the underprivileged and persons who are without a voice.",x
Why am I standing here?,x
I'm here to talk about the lack of seeing minorities on contracts.,x
"As we begin to enter the summer and the springtime, when a lot of construction will be taking place, you'll see on many of the signs that says your tax dollars at work.",x
"Well, when I see my tax dollars at work, I expect to see someone who looks like me or my brother or my uncle.",x
"I expect to see that, but yet I don't.",x
"In each and every last one of the council persons area, there are minorities that exist that need jobs And, with Trump and the various administrations laying off people, you're not gonna have a hard problem finding persons to fill those jobs.",x
"I ask that you please, please, consider hiring minorities and people who need to work, who are out of your district and need to have representation, where they can be proud, where their children can look at them as gaining full employment.",x
"Please consider your tax dollars at work, a duty that you owe to your citizens and your community.",x
"In addition to me being a member of Delta, Sigma, Theta, I'm also a committee woman and I've seen each and every one of you at the endorsement day.",x
"I'd like to be able to shake your hands at the next endorsement, saying thank you for following through with making sure minorities are at all of the construction sites.",x
Thank you very much.,x
Thank you very much.,x
"Next speaker, please.",x
Good morning.,x
my name is Jafon F Brown.,x
"When all these beautiful ladies started walking up here I almost snuck in the bunch with them, But I wanted to come down to explain Now.",x
some of you may know I've been coming down here for years- over 27 years.,x
I've been coming All the years that I've been coming here.,x
"when you speak about the Hill District, you also hear how bad it is and how dangerous it is.",x
I remember KDKA.,x
"the one man was hollering: yeah, you criminals up here in the Hill, you're going to jail.",x
"And that was the time when O'Connor had in his district in Squirrel Hill if a child got into any kind of problem, they had a person that they could contact and they would pay any restitution that needed to be paid.",x
"Unlike with black children, you go right to juvenile court or to jail.",x
"Now you talk about the Hill District being so bad and so dangerous, but you know something: traveling through the Hill District where I live at.",x
"as I was going down Wally Avenue up by the restaurant, up at the top of Wally, we're looking and there's deer, about 20 or 30 laying down, And over across the street there was about five or six more.",x
My grandbabies say: look at the deer.,x
I thought they couldn't lay down because we heard horses can't lay down but they're sick.,x
they can't lay down but they do lay down.,x
But do you understand you?,x
people say how dangerous the Hill is.,x
"the wild animals, God's animals, know where to come.",x
They know you ain't coming up there because you know why they ain't coming.,x
"I can remember Ms Gross- and I really don't care for her, And it was because of what she said.",x
"She said, ah, when they were getting a new police chief, they said they would come to every neighborhood.",x
"Well, she stood up and said, ah, me and Bill Perduto decided that all the Hill District would come to Lawrenceville.",x
That means two buses to get there And they only have to take one.,x
"When we would come to speak at city council, all we had to do is take one.",x
Why would you make us go to Lawrenceville?,x
"But you know something: I'm telling you that I'm gonna keep coming and fighting because you need to hear the people, Just like your president said that beautiful woman.",x
you hear what she said.,x
You need to hear us.,x
I was at a post-sick.,x
"I was at a- I'm talking fast but please excuse me, You need to hear this.",x
I was somewhere and I said I had went to Jamaica.,x
"Well, there was a Jamaican man.",x
So he's asking me: where did I go?,x
"I knew Kingston, but then I said: wait a minute, there's a mountain, real tall mountain, where there had been a Jamaican man and a white woman.",x
They had run away.,x
"They had told him: come back, We will not kill you, You can be together.",x
But they jumped off and killed themselves.,x
"Now, the Jamaican man didn't know.",x
"Thank you, Ms Brown.",x
"Okay, I'm sorry.",x
"Thank you, Ms Brown.",x
You don't know.,x
"Thank you, Ms Brown.",x
"Next speaker, please.",x
"Next speaker, please Seeing no further speakers.",x
"we'll turn to the presentation of the papers, beginning with Councilman Sharland, Chair of Human Resources: No new papers, Mr President, Thank you.",x
"Councilman Calkins, Chair of Public Safety and Wellness: No new papers, Mr President, Thank you.",x
"Councilwoman Gross, Chair of Innovation, Performing Asset Management and Technology: No new papers, Mr President, Thank you.",x
"Councilwoman Kale Smith, Chair of Recreation, Youth and Senior Services: Oh, sorry.",x
"Councilman Mosley, Chair of Intergovernmental Educational Affairs.",x
"Thank you, Mr President.",x
Thank you Back to the clerk.,x
"Councilman Kihari-Mosley presents Bill 1681 Resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed 52,962.",x
24.,x
"Bill 1682 resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utility Commission in the amount of 72,500 for delinquent debts owed by the City of Pittsburgh for 800,000.",x
00.,x
"Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, authorizing the Urban Redevelopment Authority of Pittsburgh to acquire all the City's right, title and interest, if any, in and to the publicly owned property in the 15th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County.",x
"Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, as block 56 B, lot 345, council district number 5, at no cost to the City.",x
"Bill 1684 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of block 10 J, lots 259 and 260 in the 5th Ward of the City of Pittsburgh and the citizens' property which amounts to 383,000.",x
00.,x
"195,000.",x
"00 cost, 153,000.",x
"00 for the sale of block five 164 of the City, Aron Street, Council, District Number 6, at no cost to the city.",x
"In Bill 1685 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and Island Avenue Holdings LLC for the sale of Block 21D, Lot 42A in the 27th Ward of the City of Pittsburgh, Island Avenue, Council, District Number 2, at no cost to the city.",x
"In Bill 1686 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of Block 83A, Lot 48 in the 11th Ward of the City of Pittsburgh, North Aiken Avenue, Council District Number 9, at no cost to the city.",x
"In Bill 1687 resolution authorizing the issuance of a warrant in favor of County of Allegheny in an amount not to exceed 1,300,000 thousand six hundred forty seven dollars over one year in full and final settlement of a claim for damage to the glycol line sidewalk heating system at the allegheny county courthouse by domi traffic division during sign placement on the forbes avenue sidewalk area of the courthouse on december 3rd 2024.",x
and.,x
"councilwoman warwick, chair of public works and infrastructure.",x
"thank you, mr president.",x
"thank you, councilwoman barbara warwick presents bill 1689 resolution amending resolution number 803 of 2024, entitled resolution authorizing the mayor of the city of pittsburgh and the director of the office of management and budget to apply for a grant from pennsylvania department of economic development's multimodal transportation fund for the penn avenue lighting project.",x
"the grant proposal includes an ask of 460 856 for the stated purpose to accept the grant, reduce the grant amount and authorize necessary expenditures.",x
and.,x
"bill 1690 resolution amending resolution number one 13 s 133 of 2024, titled resolution authorizing the mayor and director of the district of and the director of the Department of Public Works to enter into an agreement or agreements or the use of existing agreements between the City of Pittsburgh and PASCHEK plus MTR for the professional design services for Fort Pitt Park Phase I improvements at a cost not to exceed 300,000 by increasing the total city cost by 115,170 for a new total city cost not to exceed 415,170 over one year.",x
And.,x
"Councilman Wilson, Chair of Land Use and Economic Development.",x
"Thank you, Mr President.",x
"Councilman Bobby Wilson presents Bill 1691 Resolution Transferring the Amount of 33,292 within the 2025 operating budget from City Council District's salaries and wages regular to City Council District's employees' benefits for the purpose of tuition reimbursement.",x
"And I have four, If you could first read the appointment.",x
Councilman R Daniel Lavelle presents Bill 1692 Resolution Appointment Isabella Gross as a member of the Shade Tree Commission with a term to expire March 1st 2029.,x
