sentence,classification
"Good morning and welcome to the regular meeting of City Council on Tuesday, April 8th 2025.",x
Would the clerk please take the roll?,x
"Mr Sharland, Mr Coghill, Ms Gross, Mr Mosley, Mrs Kale-Smith, Mrs Strasburger, Mrs Warwick, Mr Wilson, Mr Lavelle-President- six members present.",x
Please rise for the Pledge of Allegiance.,x
Remain standing for a moment of silence.,x
"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",x
Thank you very much.,x
Our next order of business is to amend the agenda.,x
"There is a motion to amend, So moved Second.",x
"All those in favor say aye, Aye.",x
The agenda has been amended.,x
Our next order of business is proclamation.,x
We have two to be presented.,x
"Councilman Smith is not here yet, So let's move on to those being read into the record, One by Councilman Mosley and then two by Councilman Smith.",x
"Councilman Mosley, Councilman Mosley presents.",x
"Be it further resolved that the Council of the City of Pittsburgh does hereby declare Saturday, April 5th 2025 to be Dr Christine White Taylor Day in the City of Pittsburgh.",x
"that the Council of Council of the City of Pittsburgh does hereby declare Tuesday, April 8th 2025 to be the on the City of Pittsburgh, armpal, Robert J And Capitolless Nestle, very present.",x
"Be it further resolved that the Council of the City of Pittsburgh, that the Council of The City of Pittsburgh does hereby Anwer stadium King And Councilman Smith a protest Pet shirt from our Hall, Median, City Hall council matters and, as you saw in this outfit, will establish as well.",x
has Gmail fromnh lighter Rahm L influencing each other's things.,x
"as to theria nee spray those that the Council of the City of Pittsburgh does hereby declare Tuesday, April 8th 2025 to be the honorable Robert Jay Coleman bill day in the city of Pittsburgh.",x
"Council woman Smith, also presents.",x
be at further res ob.,x
"Anyways, that Council of the City of Pittsburgh does hereby declare Tuesday, April 820 pg to be very honored Every Mary Jane Bowes day in the city of Pittsburgh.",x
maybe have a motion to approve all three proclamations.,x
"all those in favor say aye, aye.",x
any opposed.,x
all three have been approved.,x
that takes us.,x
we'll move on now to councilman Shaolin's not here.,x
so we'll hold our will of counsel.,x
so we'll move on to public comment.,x
"I would like to remind everyone the rules of council state that comments are limited to matters of concern, official action or deliberation which may be for City Council, and profanity will not be permitted.",x
"once you recall, please restate your name, provide your neighborhood for the record.",x
you'll be given three minutes to speak.,x
our first registered speaker is a Zosia minifield.,x
I don't see her online.,x
"is a Zosia minifield with us, if not our next registered speakers, dr Ronald Lynn Miller, Germantown and London, United Kingdom, and Berlin, Germany- I think they should be allies of Pittsburgh City.",x
"I'm a Global Intelligence Society candidate for president 2028 global information intelligence network, net no spaces.",x
"April 2025 is European intelligence month, which I founded in 2010.",x
"Europe is a the second region for science Nobelists: North America, the Americas is number one And that is led by the United Kingdom and Deutschland.",x
Concerns of council include the vote and local city security.,x
This is consistent with my initiative: one vote by voter verification for whom?,x
"in order to avoid misapplication and misplacement of votes, which is currently forbidden across the United States.",x
"every county, including Allegheny, In the super local US constitutional state derived from the 1789 US Constitution.",x
"the security of US country is founded on the exercise and control of the vote by citizens who authorize and operationalize actions to protect and provide, via a vote founded, elected, non-secret US Congress Law warrant by judge regarding surveillance In the super local US national security state derived from the 1947 National Security Act and amplified by the 1978 Foreign Intelligence Surveillance Act and the 2001 Patriot Act.",x
"the security of the US nation overall is operationalized by a non-elected secret national security bureaucracy center, which is the national security agency and cyber command, which is here in Pittsburgh, requiring no citizen vote.",x
"This is super law, FISA warrant, national security letter, warrantless surveillance of us In the local Pittsburgh constitutional state equivalent derived from the 1974 Pittsburgh Home Rule Charter, which is parallel to the national constitution.",x
security of Pittsburgh city is founded in the vote by citizens who authorize the HRC via referendum and operationalizing actions for us in a voted-in non-secret Pittsburgh city council On the Pittsburgh local security state equivalent in that the 2024 Department of Public Safety Bureau of Police manual of rules and procedures is the foundation of the secret security special seguro approval court or eyes Won Communas Act.,x
the PDA and LEA amaking angef climax to decide what will be allowed for the Mississippi Guard to be in the999-nation State code To implement the Protege supporters' Underemployment Act.,x
these provisions would some extent combat the stations of investigation for criminal arak police and help them all to identify and predictusing the possible-d indictmentiza incident.,x
"Not only will they provide electronic legal cases for pelvic trimmed parents period, but they will include silos near birds, Re Creator and Diavolo poder zones.",x
"with one new code or solution, it wouldgebra loss.",x
PRT cuts will affect our largest employers.,x
Those tax-free end up passing their luxury onto our low-medium income folks.,x
"one way or the other They are tax-free, but their staff and their patients pay taxes.",x
"Just UPMC alone employs over 92,000 Hospital support staff.",x
take public transit.,x
"Seniors need churches, especially today for food cuts.",x
"The Green Tree bus serves Catholics, Latter-day Saints, Presbyterian and non-denominationals, Bower Hill bus filled with city folks wearing scrubs going to Asbury Heights, to Kane Boulevard, to all the senior care facilities.",x
"Let's make these big tax-free corporates like UPMC, AGH, et cetera be part of the solution.",x
"I came up with an idea and I first ran it past my senator, who helped me call it what it should be: create a AGH, et cetera fund that will help you pay taxes.",x
