sentence,classification
"Good morning and welcome to the regular meeting of City Council for Tuesday, April 15 2025.",x
The President and President Pro Tem of Pittsburgh City Council are both unable to attend this morning's meeting.,x
"Therefore, under Rule 5.",x
"1 in the Rules of Council, the Clerk shall first take a roll call and then the members shall elect a temporary President Pro Tem to preside over the meeting.",x
Can a Clerk please take the roll?,x
Mr Sharland Here.,x
Mr Coghill Here.,x
Ms Gross Here Mr Mosley Here Mrs Kale-Smith Here.,x
"Mrs Strasburger Here Mrs Warwick, Here Mr Wilson, Here Mr LaVelle.",x
"President, Five members present.",x
The floor is now open to Council to elect their temporary President Pro Tem.,x
Motion to nominate Councilwoman Strasburger as the temporary Pro Tem.,x
Second Councilperson Strasburger will now take over as President Pro Tem.,x
"Thank you, Good morning and welcome to the regular meeting of the City Council, Tuesday, April 15 2025.",x
Please rise for the Pledge of Allegiance and remain standing for a moment of silence.,x
"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible with liberty and justice for all.",x
"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",x
"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",x
You may be seated.,x
You may be seated.,x
Our next order of business is to amend the agenda.,x
Our next order of business is to amend the agenda.,x
Is there a motion to amend the agenda?,x
So moved Second.,x
All those in favor: Aye.,x
buzzing Councilman Mosley.,x
Councilman Mosley presents.,x
"be it further resolved that the Council of the City of Pittsburgh does hereby declare Friday, May 2 2025 to be Bessie Lee Harris Day in the City of Pittsburgh.",x
Is there a motion to approve?,x
So moved.,x
Second.,x
All in favor: Aye.,x
Those opposed: vote no.,x
"Aye, Aye.",x
Proclamation is approved.,x
The next order of business is public comment.,x
"I would like to remind everyone that the rules of council state that comments are limited to matters of concern, official action or deliberation which may be before city council.",x
Profanity will not be permitted.,x
"When you are called to speak, please state your name and neighborhood for the record.",x
You will have three minutes to speak.,x
Our first registered speaker is Dr Ronald M Miller.,x
"Dr Ronald M Miller Bell Suver, Pittsburgh, Pennsylvania.",x
"Yes, USA and Frankfurt, Deutschland.",x
Are these global cities?,x
Are we supposed to be a global city here?,x
Global Intelligence Society- candidate for president 2028.,x
Globalinformationintelligencenetworknet: I taught global societies and invented it at the University of Pittsburgh.,x
"Structor Concerns of council include local government, neighborhoods, international, city, city allies.",x
