sentence,classification,prev2,prev1,next1,next2
"Good morning and welcome to the pre-agenda interview for Wednesday, April 9th 2025, relative to the appointments of Affling Giles to the Clean Pittsburgh Commission and Ms Janet Evans to the Housing Authority.",b,,,Would a clerk please read the title of the bill: Bill number 986 resolution reappointing Affling Giles as a member of the Clean Pittsburgh Commission with a term to expire September 1st 2028.,And.
Would a clerk please read the title of the bill: Bill number 986 resolution reappointing Affling Giles as a member of the Clean Pittsburgh Commission with a term to expire September 1st 2028.,b,,"Good morning and welcome to the pre-agenda interview for Wednesday, April 9th 2025, relative to the appointments of Affling Giles to the Clean Pittsburgh Commission and Ms Janet Evans to the Housing Authority.",And.,bill number 1668 resolution reappointing Janet Evans as a member of the Housing Authority of the City of Pittsburgh Board of Directors with a term to expire December 31st 2029.
And.,i,"Good morning and welcome to the pre-agenda interview for Wednesday, April 9th 2025, relative to the appointments of Affling Giles to the Clean Pittsburgh Commission and Ms Janet Evans to the Housing Authority.",Would a clerk please read the title of the bill: Bill number 986 resolution reappointing Affling Giles as a member of the Clean Pittsburgh Commission with a term to expire September 1st 2028.,bill number 1668 resolution reappointing Janet Evans as a member of the Housing Authority of the City of Pittsburgh Board of Directors with a term to expire December 31st 2029.,Thank you For the record.
bill number 1668 resolution reappointing Janet Evans as a member of the Housing Authority of the City of Pittsburgh Board of Directors with a term to expire December 31st 2029.,i,Would a clerk please read the title of the bill: Bill number 986 resolution reappointing Affling Giles as a member of the Clean Pittsburgh Commission with a term to expire September 1st 2028.,And.,Thank you For the record.,we're joined by.
Thank you For the record.,i,And.,bill number 1668 resolution reappointing Janet Evans as a member of the Housing Authority of the City of Pittsburgh Board of Directors with a term to expire December 31st 2029.,we're joined by.,We're joined by Councilwoman Strasburger as well as Councilwoman Warwick.
we're joined by.,i,bill number 1668 resolution reappointing Janet Evans as a member of the Housing Authority of the City of Pittsburgh Board of Directors with a term to expire December 31st 2029.,Thank you For the record.,We're joined by Councilwoman Strasburger as well as Councilwoman Warwick.,At this point I'll turn it over to Ms Giles.
We're joined by Councilwoman Strasburger as well as Councilwoman Warwick.,i,Thank you For the record.,we're joined by.,At this point I'll turn it over to Ms Giles.,"Maybe if you would just introduce yourself, tell us a little bit about yourself, why you're excited to be a part of the Clean Pittsburgh Commission."
At this point I'll turn it over to Ms Giles.,b,we're joined by.,We're joined by Councilwoman Strasburger as well as Councilwoman Warwick.,"Maybe if you would just introduce yourself, tell us a little bit about yourself, why you're excited to be a part of the Clean Pittsburgh Commission.","Sure, My name is Affling Giles."
"Maybe if you would just introduce yourself, tell us a little bit about yourself, why you're excited to be a part of the Clean Pittsburgh Commission.",b,We're joined by Councilwoman Strasburger as well as Councilwoman Warwick.,At this point I'll turn it over to Ms Giles.,"Sure, My name is Affling Giles.",I've worked for the city for going on 15 years.
"Sure, My name is Affling Giles.",i,At this point I'll turn it over to Ms Giles.,"Maybe if you would just introduce yourself, tell us a little bit about yourself, why you're excited to be a part of the Clean Pittsburgh Commission.",I've worked for the city for going on 15 years.,I started off as a sustainability coordinator in the mayor's office and have worked my way up to being the principal planner of sustainability and resilience for the city of Pittsburgh.
I've worked for the city for going on 15 years.,i,"Maybe if you would just introduce yourself, tell us a little bit about yourself, why you're excited to be a part of the Clean Pittsburgh Commission.","Sure, My name is Affling Giles.",I started off as a sustainability coordinator in the mayor's office and have worked my way up to being the principal planner of sustainability and resilience for the city of Pittsburgh.,"One of the wonderful things that I've had the opportunity to do is to be part of the Clean Pittsburgh Commission, which was actually it started off being literally a part of my job, but it was a pleasure to do and to serve on this commission."
I started off as a sustainability coordinator in the mayor's office and have worked my way up to being the principal planner of sustainability and resilience for the city of Pittsburgh.,i,"Sure, My name is Affling Giles.",I've worked for the city for going on 15 years.,"One of the wonderful things that I've had the opportunity to do is to be part of the Clean Pittsburgh Commission, which was actually it started off being literally a part of my job, but it was a pleasure to do and to serve on this commission.",We've helped to make sure that the city of Pittsburgh stays clean and is in as good a condition as we can.
"One of the wonderful things that I've had the opportunity to do is to be part of the Clean Pittsburgh Commission, which was actually it started off being literally a part of my job, but it was a pleasure to do and to serve on this commission.",i,I've worked for the city for going on 15 years.,I started off as a sustainability coordinator in the mayor's office and have worked my way up to being the principal planner of sustainability and resilience for the city of Pittsburgh.,We've helped to make sure that the city of Pittsburgh stays clean and is in as good a condition as we can.,"It's a primarily voluntary opportunity by people not only in the city, within the city of Pittsburgh that work very diligently At waste, but also with a lot of wonderful volunteers from outside of local government that also volunteer their time and their talents in order to help make sure that the city can try to be as clean as possible."
We've helped to make sure that the city of Pittsburgh stays clean and is in as good a condition as we can.,i,I started off as a sustainability coordinator in the mayor's office and have worked my way up to being the principal planner of sustainability and resilience for the city of Pittsburgh.,"One of the wonderful things that I've had the opportunity to do is to be part of the Clean Pittsburgh Commission, which was actually it started off being literally a part of my job, but it was a pleasure to do and to serve on this commission.","It's a primarily voluntary opportunity by people not only in the city, within the city of Pittsburgh that work very diligently At waste, but also with a lot of wonderful volunteers from outside of local government that also volunteer their time and their talents in order to help make sure that the city can try to be as clean as possible.","I served for the last two terms as the Clean Pittsburgh Commission's treasurer, So I helped to make sure that all of our fundings, our funds- are being spent And I'm just happy to continue that."
"It's a primarily voluntary opportunity by people not only in the city, within the city of Pittsburgh that work very diligently At waste, but also with a lot of wonderful volunteers from outside of local government that also volunteer their time and their talents in order to help make sure that the city can try to be as clean as possible.",i,"One of the wonderful things that I've had the opportunity to do is to be part of the Clean Pittsburgh Commission, which was actually it started off being literally a part of my job, but it was a pleasure to do and to serve on this commission.",We've helped to make sure that the city of Pittsburgh stays clean and is in as good a condition as we can.,"I served for the last two terms as the Clean Pittsburgh Commission's treasurer, So I helped to make sure that all of our fundings, our funds- are being spent And I'm just happy to continue that.",Thank you very much.
"I served for the last two terms as the Clean Pittsburgh Commission's treasurer, So I helped to make sure that all of our fundings, our funds- are being spent And I'm just happy to continue that.",b,We've helped to make sure that the city of Pittsburgh stays clean and is in as good a condition as we can.,"It's a primarily voluntary opportunity by people not only in the city, within the city of Pittsburgh that work very diligently At waste, but also with a lot of wonderful volunteers from outside of local government that also volunteer their time and their talents in order to help make sure that the city can try to be as clean as possible.",Thank you very much.,I'll turn it over to Ms Evans if there's anything you would like to say about your reappointment to the Housing Authority.
Thank you very much.,i,"It's a primarily voluntary opportunity by people not only in the city, within the city of Pittsburgh that work very diligently At waste, but also with a lot of wonderful volunteers from outside of local government that also volunteer their time and their talents in order to help make sure that the city can try to be as clean as possible.","I served for the last two terms as the Clean Pittsburgh Commission's treasurer, So I helped to make sure that all of our fundings, our funds- are being spent And I'm just happy to continue that.",I'll turn it over to Ms Evans if there's anything you would like to say about your reappointment to the Housing Authority.,I'm excited.
I'll turn it over to Ms Evans if there's anything you would like to say about your reappointment to the Housing Authority.,b,"I served for the last two terms as the Clean Pittsburgh Commission's treasurer, So I helped to make sure that all of our fundings, our funds- are being spent And I'm just happy to continue that.",Thank you very much.,I'm excited.,"I've been on the board for a long time And I was able to make a lot of changes for a lot of residents As well as the workers, Especially if they needed new phones or new cars."
I'm excited.,i,Thank you very much.,I'll turn it over to Ms Evans if there's anything you would like to say about your reappointment to the Housing Authority.,"I've been on the board for a long time And I was able to make a lot of changes for a lot of residents As well as the workers, Especially if they needed new phones or new cars.",But that was like in the first couple of years of me being on the board.
"I've been on the board for a long time And I was able to make a lot of changes for a lot of residents As well as the workers, Especially if they needed new phones or new cars.",i,I'll turn it over to Ms Evans if there's anything you would like to say about your reappointment to the Housing Authority.,I'm excited.,But that was like in the first couple of years of me being on the board.,"I just don't think of my own area, But I think of the Housing Authority all around, And I would like to be reappointed."
But that was like in the first couple of years of me being on the board.,i,I'm excited.,"I've been on the board for a long time And I was able to make a lot of changes for a lot of residents As well as the workers, Especially if they needed new phones or new cars.","I just don't think of my own area, But I think of the Housing Authority all around, And I would like to be reappointed.",The reason is I'm there for the residents that help make changes And I want to see what the future is going to be for them.
"I just don't think of my own area, But I think of the Housing Authority all around, And I would like to be reappointed.",i,"I've been on the board for a long time And I was able to make a lot of changes for a lot of residents As well as the workers, Especially if they needed new phones or new cars.",But that was like in the first couple of years of me being on the board.,The reason is I'm there for the residents that help make changes And I want to see what the future is going to be for them.,"So I represent a lot of people on the Housing Authority, Thank you, And I want to be not just my own area, but everybody."
The reason is I'm there for the residents that help make changes And I want to see what the future is going to be for them.,i,But that was like in the first couple of years of me being on the board.,"I just don't think of my own area, But I think of the Housing Authority all around, And I would like to be reappointed.","So I represent a lot of people on the Housing Authority, Thank you, And I want to be not just my own area, but everybody.",I'm going to hold this for you because we can't hear.
"So I represent a lot of people on the Housing Authority, Thank you, And I want to be not just my own area, but everybody.",i,"I just don't think of my own area, But I think of the Housing Authority all around, And I would like to be reappointed.",The reason is I'm there for the residents that help make changes And I want to see what the future is going to be for them.,I'm going to hold this for you because we can't hear.,I'm sorry.
