sentence,classification,prev2,prev1,next1,next2
"All right, welcome to our public hearing for Bill 2025-1579, And today is April 23rd 2023.",b,,,"I'm Bobby Wilson, I represent Council District 1 and I am the chair of the Land Use and Economic Development Committee.","Before we get started with anything else, I just want to apologize that I'm taking this by virtual experience today because I'm just recovering from a foot surgery, so I apologize to the public if there's any slight delay whenever I call your name, And I wanted to have the clerk."
"I'm Bobby Wilson, I represent Council District 1 and I am the chair of the Land Use and Economic Development Committee.",b,,"All right, welcome to our public hearing for Bill 2025-1579, And today is April 23rd 2023.","Before we get started with anything else, I just want to apologize that I'm taking this by virtual experience today because I'm just recovering from a foot surgery, so I apologize to the public if there's any slight delay whenever I call your name, And I wanted to have the clerk.",please read the bill.
"Before we get started with anything else, I just want to apologize that I'm taking this by virtual experience today because I'm just recovering from a foot surgery, so I apologize to the public if there's any slight delay whenever I call your name, And I wanted to have the clerk.",i,"All right, welcome to our public hearing for Bill 2025-1579, And today is April 23rd 2023.","I'm Bobby Wilson, I represent Council District 1 and I am the chair of the Land Use and Economic Development Committee.",please read the bill.,relative to 2025: Bill 1579.
please read the bill.,i,"I'm Bobby Wilson, I represent Council District 1 and I am the chair of the Land Use and Economic Development Committee.","Before we get started with anything else, I just want to apologize that I'm taking this by virtual experience today because I'm just recovering from a foot surgery, so I apologize to the public if there's any slight delay whenever I call your name, And I wanted to have the clerk.",relative to 2025: Bill 1579.,Bill 1579 Ordinance Amending and Supplementing the Pittsburgh Code of Ordinances- Title IX- Zoning.
relative to 2025: Bill 1579.,b,"Before we get started with anything else, I just want to apologize that I'm taking this by virtual experience today because I'm just recovering from a foot surgery, so I apologize to the public if there's any slight delay whenever I call your name, And I wanted to have the clerk.",please read the bill.,Bill 1579 Ordinance Amending and Supplementing the Pittsburgh Code of Ordinances- Title IX- Zoning.,"Article II- Base Zoning Districts, Chapter 903- Residential Zoning Districts- to Reduce Required Minimum Lots."
Bill 1579 Ordinance Amending and Supplementing the Pittsburgh Code of Ordinances- Title IX- Zoning.,b,please read the bill.,relative to 2025: Bill 1579.,"Article II- Base Zoning Districts, Chapter 903- Residential Zoning Districts- to Reduce Required Minimum Lots.","Thank you, And for the record, I want to note that we are joined."
"Article II- Base Zoning Districts, Chapter 903- Residential Zoning Districts- to Reduce Required Minimum Lots.",b,relative to 2025: Bill 1579.,Bill 1579 Ordinance Amending and Supplementing the Pittsburgh Code of Ordinances- Title IX- Zoning.,"Thank you, And for the record, I want to note that we are joined.",I'm trying my best to see who's in chambers.
"Thank you, And for the record, I want to note that we are joined.",i,Bill 1579 Ordinance Amending and Supplementing the Pittsburgh Code of Ordinances- Title IX- Zoning.,"Article II- Base Zoning Districts, Chapter 903- Residential Zoning Districts- to Reduce Required Minimum Lots.",I'm trying my best to see who's in chambers.,"we are joined by Council President LaValle, Daniel LaValle, and we're also joined by Council Members Erica Strasburger, Barbara Warwick and also Council Member Deborah Gross and also Council Member Charlotte, And if I missed anyone now I can see everyone with the big view here."
I'm trying my best to see who's in chambers.,b,"Article II- Base Zoning Districts, Chapter 903- Residential Zoning Districts- to Reduce Required Minimum Lots.","Thank you, And for the record, I want to note that we are joined.","we are joined by Council President LaValle, Daniel LaValle, and we're also joined by Council Members Erica Strasburger, Barbara Warwick and also Council Member Deborah Gross and also Council Member Charlotte, And if I missed anyone now I can see everyone with the big view here.","All right, I think I was able to get everyone And with that, we will start with the first speaker, but I want to remind everyone that there is three minutes to speak And Before you give your comments- whether they're in favor or not, or just comments- please state your name first and last name for the record, Also your neighborhood and or neighborhood affiliation organization that you're affiliated with."
"we are joined by Council President LaValle, Daniel LaValle, and we're also joined by Council Members Erica Strasburger, Barbara Warwick and also Council Member Deborah Gross and also Council Member Charlotte, And if I missed anyone now I can see everyone with the big view here.",b,"Thank you, And for the record, I want to note that we are joined.",I'm trying my best to see who's in chambers.,"All right, I think I was able to get everyone And with that, we will start with the first speaker, but I want to remind everyone that there is three minutes to speak And Before you give your comments- whether they're in favor or not, or just comments- please state your name first and last name for the record, Also your neighborhood and or neighborhood affiliation organization that you're affiliated with.","With that, we will start with our first speaker, David Brangham."
"All right, I think I was able to get everyone And with that, we will start with the first speaker, but I want to remind everyone that there is three minutes to speak And Before you give your comments- whether they're in favor or not, or just comments- please state your name first and last name for the record, Also your neighborhood and or neighborhood affiliation organization that you're affiliated with.",p,I'm trying my best to see who's in chambers.,"we are joined by Council President LaValle, Daniel LaValle, and we're also joined by Council Members Erica Strasburger, Barbara Warwick and also Council Member Deborah Gross and also Council Member Charlotte, And if I missed anyone now I can see everyone with the big view here.","With that, we will start with our first speaker, David Brangham.","I'm sorry, we're going to let Planet go first."
"With that, we will start with our first speaker, David Brangham.",p,"we are joined by Council President LaValle, Daniel LaValle, and we're also joined by Council Members Erica Strasburger, Barbara Warwick and also Council Member Deborah Gross and also Council Member Charlotte, And if I missed anyone now I can see everyone with the big view here.","All right, I think I was able to get everyone And with that, we will start with the first speaker, but I want to remind everyone that there is three minutes to speak And Before you give your comments- whether they're in favor or not, or just comments- please state your name first and last name for the record, Also your neighborhood and or neighborhood affiliation organization that you're affiliated with.","I'm sorry, we're going to let Planet go first.","I apologize, David."
"I'm sorry, we're going to let Planet go first.",i,"All right, I think I was able to get everyone And with that, we will start with the first speaker, but I want to remind everyone that there is three minutes to speak And Before you give your comments- whether they're in favor or not, or just comments- please state your name first and last name for the record, Also your neighborhood and or neighborhood affiliation organization that you're affiliated with.","With that, we will start with our first speaker, David Brangham.","I apologize, David.","We do have a presentation by planning And, if we can, I believe we have a couple members from planning in the audience."
"I apologize, David.",i,"With that, we will start with our first speaker, David Brangham.","I'm sorry, we're going to let Planet go first.","We do have a presentation by planning And, if we can, I believe we have a couple members from planning in the audience.","Yes, hello, We'll introduce ourselves."
"We do have a presentation by planning And, if we can, I believe we have a couple members from planning in the audience.",b,"I'm sorry, we're going to let Planet go first.","I apologize, David.","Yes, hello, We'll introduce ourselves.","Andrew Dash, I'm the Deputy Director, Department of City Planning."
"Yes, hello, We'll introduce ourselves.",b,"I apologize, David.","We do have a presentation by planning And, if we can, I believe we have a couple members from planning in the audience.","Andrew Dash, I'm the Deputy Director, Department of City Planning.","Corey Lehman, Chief Zoning Officer."
"Andrew Dash, I'm the Deputy Director, Department of City Planning.",b,"We do have a presentation by planning And, if we can, I believe we have a couple members from planning in the audience.","Yes, hello, We'll introduce ourselves.","Corey Lehman, Chief Zoning Officer.","Zoning Administrator, City Planning."
"Corey Lehman, Chief Zoning Officer.",i,"Yes, hello, We'll introduce ourselves.","Andrew Dash, I'm the Deputy Director, Department of City Planning.","Zoning Administrator, City Planning.","Paul Kinsella, Principal Planner with the Department of City Planning."
