sentence,classification,prev2,prev1,next1,next2
"Good morning and welcome to the standing committee's meeting for Wednesday, April 16- 2025.",b,,,"All council meetings will be will be live streamed on the city's website and, for those joining us at the table, please do not turn off your microphones.",Our first order of business is roll call.
"All council meetings will be will be live streamed on the city's website and, for those joining us at the table, please do not turn off your microphones.",i,,"Good morning and welcome to the standing committee's meeting for Wednesday, April 16- 2025.",Our first order of business is roll call.,Will the clerk please take the roll?
Our first order of business is roll call.,b,"Good morning and welcome to the standing committee's meeting for Wednesday, April 16- 2025.","All council meetings will be will be live streamed on the city's website and, for those joining us at the table, please do not turn off your microphones.",Will the clerk please take the roll?,"Mr Sharland Here, Mr Coghill, Ms Gross Here, Mr Lavelle, Mr Mosley Here, Mrs Kale-Smith, Mrs Warwick, Mr Wilson, Mr Sharland, Ms Strasburg Or chair Here."
Will the clerk please take the roll?,i,"All council meetings will be will be live streamed on the city's website and, for those joining us at the table, please do not turn off your microphones.",Our first order of business is roll call.,"Mr Sharland Here, Mr Coghill, Ms Gross Here, Mr Lavelle, Mr Mosley Here, Mrs Kale-Smith, Mrs Warwick, Mr Wilson, Mr Sharland, Ms Strasburg Or chair Here.",Four members present?
"Mr Sharland Here, Mr Coghill, Ms Gross Here, Mr Lavelle, Mr Mosley Here, Mrs Kale-Smith, Mrs Warwick, Mr Wilson, Mr Sharland, Ms Strasburg Or chair Here.",i,Our first order of business is roll call.,Will the clerk please take the roll?,Four members present?,"Okay, Now we have Councilman Wilson joining remotely."
Four members present?,i,Will the clerk please take the roll?,"Mr Sharland Here, Mr Coghill, Ms Gross Here, Mr Lavelle, Mr Mosley Here, Mrs Kale-Smith, Mrs Warwick, Mr Wilson, Mr Sharland, Ms Strasburg Or chair Here.","Okay, Now we have Councilman Wilson joining remotely.","Thank you, Hi, Erica."
"Okay, Now we have Councilman Wilson joining remotely.",i,"Mr Sharland Here, Mr Coghill, Ms Gross Here, Mr Lavelle, Mr Mosley Here, Mrs Kale-Smith, Mrs Warwick, Mr Wilson, Mr Sharland, Ms Strasburg Or chair Here.",Four members present?,"Thank you, Hi, Erica.","Hi, Chair, I'm here, Thank you."
"Thank you, Hi, Erica.",i,Four members present?,"Okay, Now we have Councilman Wilson joining remotely.","Hi, Chair, I'm here, Thank you.","Thank you, Okay, Five members present."
"Hi, Chair, I'm here, Thank you.",i,"Okay, Now we have Councilman Wilson joining remotely.","Thank you, Hi, Erica.","Thank you, Okay, Five members present.","Thank you, Madam Clerk."
"Thank you, Okay, Five members present.",i,"Thank you, Hi, Erica.","Hi, Chair, I'm here, Thank you.","Thank you, Madam Clerk.",Our next order of business is public comment.
"Thank you, Madam Clerk.",i,"Hi, Chair, I'm here, Thank you.","Thank you, Okay, Five members present.",Our next order of business is public comment.,"I would like to remind all speakers that rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before City Council."
Our next order of business is public comment.,p,"Thank you, Okay, Five members present.","Thank you, Madam Clerk.","I would like to remind all speakers that rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before City Council.",Profanity will not be permitted.
"I would like to remind all speakers that rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before City Council.",p,"Thank you, Madam Clerk.",Our next order of business is public comment.,Profanity will not be permitted.,Please state your name and neighborhood for the record.
Profanity will not be permitted.,i,Our next order of business is public comment.,"I would like to remind all speakers that rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before City Council.",Please state your name and neighborhood for the record.,You will have three minutes to speak.
Please state your name and neighborhood for the record.,p,"I would like to remind all speakers that rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before City Council.",Profanity will not be permitted.,You will have three minutes to speak.,Our first registered speaker is Azasha Mennefield.
You will have three minutes to speak.,p,Profanity will not be permitted.,Please state your name and neighborhood for the record.,Our first registered speaker is Azasha Mennefield.,We don't see them online.
Our first registered speaker is Azasha Mennefield.,p,Please state your name and neighborhood for the record.,You will have three minutes to speak.,We don't see them online.,"We do not see Azasha Mennefield in the chamber, So we will now move on to those in the chambers wishing to speak."
We don't see them online.,i,You will have three minutes to speak.,Our first registered speaker is Azasha Mennefield.,"We do not see Azasha Mennefield in the chamber, So we will now move on to those in the chambers wishing to speak.",Please approach the podium.
