sentence,classification,prev2,prev1,next1,next2
"Good morning and welcome to the regular meeting of City Council on Tuesday, April 15th 2025.",b,,,Will the clerk please take the roll?,"Mr Sharland, Mr Coghill, Ms Gross Here, Mr Mosley Here, Mrs Kale-Smith Mrs Strasberger, Mrs Warwick Here, Mr Wilson Here, Mr Lavelle-President Here."
Will the clerk please take the roll?,i,,"Good morning and welcome to the regular meeting of City Council on Tuesday, April 15th 2025.","Mr Sharland, Mr Coghill, Ms Gross Here, Mr Mosley Here, Mrs Kale-Smith Mrs Strasberger, Mrs Warwick Here, Mr Wilson Here, Mr Lavelle-President Here.",Five members present.
"Mr Sharland, Mr Coghill, Ms Gross Here, Mr Mosley Here, Mrs Kale-Smith Mrs Strasberger, Mrs Warwick Here, Mr Wilson Here, Mr Lavelle-President Here.",i,"Good morning and welcome to the regular meeting of City Council on Tuesday, April 15th 2025.",Will the clerk please take the roll?,Five members present.,Thank you very much.
Five members present.,i,Will the clerk please take the roll?,"Mr Sharland, Mr Coghill, Ms Gross Here, Mr Mosley Here, Mrs Kale-Smith Mrs Strasberger, Mrs Warwick Here, Mr Wilson Here, Mr Lavelle-President Here.",Thank you very much.,May we first have a motion to waive the rules of council.
Thank you very much.,i,"Mr Sharland, Mr Coghill, Ms Gross Here, Mr Mosley Here, Mrs Kale-Smith Mrs Strasberger, Mrs Warwick Here, Mr Wilson Here, Mr Lavelle-President Here.",Five members present.,May we first have a motion to waive the rules of council.,Motion to waive the rules.
May we first have a motion to waive the rules of council.,b,Five members present.,Thank you very much.,Motion to waive the rules.,"Second, All those in favor say aye, Aye, Rules have been waived."
Motion to waive the rules.,i,Thank you very much.,May we first have a motion to waive the rules of council.,"Second, All those in favor say aye, Aye, Rules have been waived.",Thank you very much.
"Second, All those in favor say aye, Aye, Rules have been waived.",i,May we first have a motion to waive the rules of council.,Motion to waive the rules.,Thank you very much.,It was 1031.
Thank you very much.,i,Motion to waive the rules.,"Second, All those in favor say aye, Aye, Rules have been waived.",It was 1031.,Now please rise for the Pledge of Allegiance.
It was 1031.,i,"Second, All those in favor say aye, Aye, Rules have been waived.",Thank you very much.,Now please rise for the Pledge of Allegiance.,Remain standing for a moment of silence.
Now please rise for the Pledge of Allegiance.,b,Thank you very much.,It was 1031.,Remain standing for a moment of silence.,"Thank you, Thank you, Thank you very much."
Remain standing for a moment of silence.,i,It was 1031.,Now please rise for the Pledge of Allegiance.,"Thank you, Thank you, Thank you very much.","I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all."
"Thank you, Thank you, Thank you very much.",i,Now please rise for the Pledge of Allegiance.,Remain standing for a moment of silence.,"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",Thank you very much.
"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",i,Remain standing for a moment of silence.,"Thank you, Thank you, Thank you very much.",Thank you very much.,Our next order of business is going to be proclamations and I want to start with take your father today to school.
Thank you very much.,i,"Thank you, Thank you, Thank you very much.","I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",Our next order of business is going to be proclamations and I want to start with take your father today to school.,"So if all those here for that proclamation, please come forward."
Our next order of business is going to be proclamations and I want to start with take your father today to school.,b,"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",Thank you very much.,"So if all those here for that proclamation, please come forward.","Mr Brintley, our school board directors, if our mayor would also come forward, Mark, you want to come up?"
"So if all those here for that proclamation, please come forward.",b,Thank you very much.,Our next order of business is going to be proclamations and I want to start with take your father today to school.,"Mr Brintley, our school board directors, if our mayor would also come forward, Mark, you want to come up?","Yes, sir, Thank you very much, Sir, good to see you."
"Mr Brintley, our school board directors, if our mayor would also come forward, Mark, you want to come up?",b,Our next order of business is going to be proclamations and I want to start with take your father today to school.,"So if all those here for that proclamation, please come forward.","Yes, sir, Thank you very much, Sir, good to see you.","You have an order which, Yes, sir, I can knock the food in about 20 minutes, That's okay- 15."
"Yes, sir, Thank you very much, Sir, good to see you.",i,"So if all those here for that proclamation, please come forward.","Mr Brintley, our school board directors, if our mayor would also come forward, Mark, you want to come up?","You have an order which, Yes, sir, I can knock the food in about 20 minutes, That's okay- 15.","So, before turning it over to Mr Brintley, I just want to thank him."
"You have an order which, Yes, sir, I can knock the food in about 20 minutes, That's okay- 15.",i,"Mr Brintley, our school board directors, if our mayor would also come forward, Mark, you want to come up?","Yes, sir, Thank you very much, Sir, good to see you.","So, before turning it over to Mr Brintley, I just want to thank him.","Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Mr Magno."
"So, before turning it over to Mr Brintley, I just want to thank him.",b,"Yes, sir, Thank you very much, Sir, good to see you.","You have an order which, Yes, sir, I can knock the food in about 20 minutes, That's okay- 15.","Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Mr Magno.","Mr Brintley, I just want to thank him because when did you start this?"
"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Mr Magno.",b,"You have an order which, Yes, sir, I can knock the food in about 20 minutes, That's okay- 15.","So, before turning it over to Mr Brintley, I just want to thank him.","Mr Brintley, I just want to thank him because when did you start this?",So this is now our 27th year of doing this.
"Mr Brintley, I just want to thank him because when did you start this?",b,"So, before turning it over to Mr Brintley, I just want to thank him.","Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Mr Magno.",So this is now our 27th year of doing this.,We've done this every year that I've been on council and it really is a great initiative.
So this is now our 27th year of doing this.,i,"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Mr Magno.","Mr Brintley, I just want to thank him because when did you start this?",We've done this every year that I've been on council and it really is a great initiative.,"I want to thank Mr Brintley for starting this many, many years ago."
We've done this every year that I've been on council and it really is a great initiative.,i,"Mr Brintley, I just want to thank him because when did you start this?",So this is now our 27th year of doing this.,"I want to thank Mr Brintley for starting this many, many years ago.",I want to thank the school board directors for continuing it And I definitely want to thank all the brothers who have been supportive over the years.
"I want to thank Mr Brintley for starting this many, many years ago.",i,So this is now our 27th year of doing this.,We've done this every year that I've been on council and it really is a great initiative.,I want to thank the school board directors for continuing it And I definitely want to thank all the brothers who have been supportive over the years.,"With that, I want to turn it over to Mr Brintley, and then I would also ask the mayor to give remarks."
I want to thank the school board directors for continuing it And I definitely want to thank all the brothers who have been supportive over the years.,i,We've done this every year that I've been on council and it really is a great initiative.,"I want to thank Mr Brintley for starting this many, many years ago.","With that, I want to turn it over to Mr Brintley, and then I would also ask the mayor to give remarks.","Yes, sir, Thank you, Mr President, and thank you, members of council."
"With that, I want to turn it over to Mr Brintley, and then I would also ask the mayor to give remarks.",b,"I want to thank Mr Brintley for starting this many, many years ago.",I want to thank the school board directors for continuing it And I definitely want to thank all the brothers who have been supportive over the years.,"Yes, sir, Thank you, Mr President, and thank you, members of council.","Once again, we are always excited."
"Yes, sir, Thank you, Mr President, and thank you, members of council.",b,I want to thank the school board directors for continuing it And I definitely want to thank all the brothers who have been supportive over the years.,"With that, I want to turn it over to Mr Brintley, and then I would also ask the mayor to give remarks.","Once again, we are always excited.","If I can take a quick moment just to tell you, this is a kickoff."
"Once again, we are always excited.",i,"With that, I want to turn it over to Mr Brintley, and then I would also ask the mayor to give remarks.","Yes, sir, Thank you, Mr President, and thank you, members of council.","If I can take a quick moment just to tell you, this is a kickoff.",We do this 30 days before the actual date.
"If I can take a quick moment just to tell you, this is a kickoff.",i,"Yes, sir, Thank you, Mr President, and thank you, members of council.","Once again, we are always excited.",We do this 30 days before the actual date.,So in May- somebody give me the date.
We do this 30 days before the actual date.,i,"Once again, we are always excited.","If I can take a quick moment just to tell you, this is a kickoff.",So in May- somebody give me the date.,"Is it 17th, 20th, 16th, May 16th is the day where we call Take a Father to School Day."
So in May- somebody give me the date.,i,"If I can take a quick moment just to tell you, this is a kickoff.",We do this 30 days before the actual date.,"Is it 17th, 20th, 16th, May 16th is the day where we call Take a Father to School Day.","We ask men across the city to get up, get out, take a personal day, vacation day, whatever, and go into any of the Pittsburgh public schools."
"Is it 17th, 20th, 16th, May 16th is the day where we call Take a Father to School Day.",i,We do this 30 days before the actual date.,So in May- somebody give me the date.,"We ask men across the city to get up, get out, take a personal day, vacation day, whatever, and go into any of the Pittsburgh public schools.",They have special activities designed to attract men.
"We ask men across the city to get up, get out, take a personal day, vacation day, whatever, and go into any of the Pittsburgh public schools.",b,So in May- somebody give me the date.,"Is it 17th, 20th, 16th, May 16th is the day where we call Take a Father to School Day.",They have special activities designed to attract men.,"Okay, What I always tell the principals and administrators when I was on the board is: I will get the men in your building, You find a way to keep them, And they've been very, very successful."
They have special activities designed to attract men.,i,"Is it 17th, 20th, 16th, May 16th is the day where we call Take a Father to School Day.","We ask men across the city to get up, get out, take a personal day, vacation day, whatever, and go into any of the Pittsburgh public schools.","Okay, What I always tell the principals and administrators when I was on the board is: I will get the men in your building, You find a way to keep them, And they've been very, very successful.","Today's date is a day, it's a kickoff, because I think it's important that our children who are watching, that our mothers who are watching and our sisters and our aunts, that they see men, black men, young men, old men, white men- all of us Stand and publically show and say our commitment to children."
"Okay, What I always tell the principals and administrators when I was on the board is: I will get the men in your building, You find a way to keep them, And they've been very, very successful.",i,"We ask men across the city to get up, get out, take a personal day, vacation day, whatever, and go into any of the Pittsburgh public schools.",They have special activities designed to attract men.,"Today's date is a day, it's a kickoff, because I think it's important that our children who are watching, that our mothers who are watching and our sisters and our aunts, that they see men, black men, young men, old men, white men- all of us Stand and publically show and say our commitment to children.","Kids are under attack today, okay, But we need to stand and show that we are together."
"Today's date is a day, it's a kickoff, because I think it's important that our children who are watching, that our mothers who are watching and our sisters and our aunts, that they see men, black men, young men, old men, white men- all of us Stand and publically show and say our commitment to children.",i,They have special activities designed to attract men.,"Okay, What I always tell the principals and administrators when I was on the board is: I will get the men in your building, You find a way to keep them, And they've been very, very successful.","Kids are under attack today, okay, But we need to stand and show that we are together.",So this is what this day's about.
"Kids are under attack today, okay, But we need to stand and show that we are together.",i,"Okay, What I always tell the principals and administrators when I was on the board is: I will get the men in your building, You find a way to keep them, And they've been very, very successful.","Today's date is a day, it's a kickoff, because I think it's important that our children who are watching, that our mothers who are watching and our sisters and our aunts, that they see men, black men, young men, old men, white men- all of us Stand and publically show and say our commitment to children.",So this is what this day's about.,"Secondly, my hat that I'm wearing- and please forgive me because I normally remove it, but I have to represent, two years ago, one of the activities that happened at Martin Luther King School, the principal, under the leadership of Dr Gordon, had a panel where the majority of the men in the audience and we were able to talk And actually the honorable mayor was part of that panel and I was part of the panel."
So this is what this day's about.,i,"Today's date is a day, it's a kickoff, because I think it's important that our children who are watching, that our mothers who are watching and our sisters and our aunts, that they see men, black men, young men, old men, white men- all of us Stand and publically show and say our commitment to children.","Kids are under attack today, okay, But we need to stand and show that we are together.","Secondly, my hat that I'm wearing- and please forgive me because I normally remove it, but I have to represent, two years ago, one of the activities that happened at Martin Luther King School, the principal, under the leadership of Dr Gordon, had a panel where the majority of the men in the audience and we were able to talk And actually the honorable mayor was part of that panel and I was part of the panel.","At the end, as a parting gift, she gave me the hat that said Number One, Dad, and I said Sister, I'm going to represent, So I am here to represent her."
"Secondly, my hat that I'm wearing- and please forgive me because I normally remove it, but I have to represent, two years ago, one of the activities that happened at Martin Luther King School, the principal, under the leadership of Dr Gordon, had a panel where the majority of the men in the audience and we were able to talk And actually the honorable mayor was part of that panel and I was part of the panel.",i,"Kids are under attack today, okay, But we need to stand and show that we are together.",So this is what this day's about.,"At the end, as a parting gift, she gave me the hat that said Number One, Dad, and I said Sister, I'm going to represent, So I am here to represent her.",But thank you very much.
