sentence,classification,prev2,prev1,next1,next2
"Good morning and welcome to the regular meeting of City Council for Tuesday, April 15 2025.",b,,,The President and President Pro Tem of Pittsburgh City Council are both unable to attend this morning's meeting.,"Therefore, under Rule 5."
The President and President Pro Tem of Pittsburgh City Council are both unable to attend this morning's meeting.,b,,"Good morning and welcome to the regular meeting of City Council for Tuesday, April 15 2025.","Therefore, under Rule 5.","1 in the Rules of Council, the Clerk shall first take a roll call and then the members shall elect a temporary President Pro Tem to preside over the meeting."
"Therefore, under Rule 5.",b,"Good morning and welcome to the regular meeting of City Council for Tuesday, April 15 2025.",The President and President Pro Tem of Pittsburgh City Council are both unable to attend this morning's meeting.,"1 in the Rules of Council, the Clerk shall first take a roll call and then the members shall elect a temporary President Pro Tem to preside over the meeting.",Can a Clerk please take the roll?
"1 in the Rules of Council, the Clerk shall first take a roll call and then the members shall elect a temporary President Pro Tem to preside over the meeting.",b,The President and President Pro Tem of Pittsburgh City Council are both unable to attend this morning's meeting.,"Therefore, under Rule 5.",Can a Clerk please take the roll?,Mr Sharland Here.
Can a Clerk please take the roll?,i,"Therefore, under Rule 5.","1 in the Rules of Council, the Clerk shall first take a roll call and then the members shall elect a temporary President Pro Tem to preside over the meeting.",Mr Sharland Here.,Mr Coghill Here.
Mr Sharland Here.,i,"1 in the Rules of Council, the Clerk shall first take a roll call and then the members shall elect a temporary President Pro Tem to preside over the meeting.",Can a Clerk please take the roll?,Mr Coghill Here.,Ms Gross Here Mr Mosley Here Mrs Kale-Smith Here.
Mr Coghill Here.,i,Can a Clerk please take the roll?,Mr Sharland Here.,Ms Gross Here Mr Mosley Here Mrs Kale-Smith Here.,"Mrs Strasburger Here Mrs Warwick, Here Mr Wilson, Here Mr LaVelle."
Ms Gross Here Mr Mosley Here Mrs Kale-Smith Here.,i,Mr Sharland Here.,Mr Coghill Here.,"Mrs Strasburger Here Mrs Warwick, Here Mr Wilson, Here Mr LaVelle.","President, Five members present."
"Mrs Strasburger Here Mrs Warwick, Here Mr Wilson, Here Mr LaVelle.",i,Mr Coghill Here.,Ms Gross Here Mr Mosley Here Mrs Kale-Smith Here.,"President, Five members present.",The floor is now open to Council to elect their temporary President Pro Tem.
"President, Five members present.",b,Ms Gross Here Mr Mosley Here Mrs Kale-Smith Here.,"Mrs Strasburger Here Mrs Warwick, Here Mr Wilson, Here Mr LaVelle.",The floor is now open to Council to elect their temporary President Pro Tem.,Motion to nominate Councilwoman Strasburger as the temporary Pro Tem.
The floor is now open to Council to elect their temporary President Pro Tem.,b,"Mrs Strasburger Here Mrs Warwick, Here Mr Wilson, Here Mr LaVelle.","President, Five members present.",Motion to nominate Councilwoman Strasburger as the temporary Pro Tem.,Second Councilperson Strasburger will now take over as President Pro Tem.
Motion to nominate Councilwoman Strasburger as the temporary Pro Tem.,i,"President, Five members present.",The floor is now open to Council to elect their temporary President Pro Tem.,Second Councilperson Strasburger will now take over as President Pro Tem.,"Thank you, Good morning and welcome to the regular meeting of the City Council, Tuesday, April 15 2025."
Second Councilperson Strasburger will now take over as President Pro Tem.,i,The floor is now open to Council to elect their temporary President Pro Tem.,Motion to nominate Councilwoman Strasburger as the temporary Pro Tem.,"Thank you, Good morning and welcome to the regular meeting of the City Council, Tuesday, April 15 2025.",Please rise for the Pledge of Allegiance and remain standing for a moment of silence.
"Thank you, Good morning and welcome to the regular meeting of the City Council, Tuesday, April 15 2025.",b,Motion to nominate Councilwoman Strasburger as the temporary Pro Tem.,Second Councilperson Strasburger will now take over as President Pro Tem.,Please rise for the Pledge of Allegiance and remain standing for a moment of silence.,"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible with liberty and justice for all."
Please rise for the Pledge of Allegiance and remain standing for a moment of silence.,b,Second Councilperson Strasburger will now take over as President Pro Tem.,"Thank you, Good morning and welcome to the regular meeting of the City Council, Tuesday, April 15 2025.","I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible with liberty and justice for all.","I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all."
"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible with liberty and justice for all.",i,"Thank you, Good morning and welcome to the regular meeting of the City Council, Tuesday, April 15 2025.",Please rise for the Pledge of Allegiance and remain standing for a moment of silence.,"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.","I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all."
"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",i,Please rise for the Pledge of Allegiance and remain standing for a moment of silence.,"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible with liberty and justice for all.","I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",You may be seated.
"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",i,"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible with liberty and justice for all.","I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",You may be seated.,You may be seated.
You may be seated.,i,"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.","I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",You may be seated.,Our next order of business is to amend the agenda.
You may be seated.,i,"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",You may be seated.,Our next order of business is to amend the agenda.,Our next order of business is to amend the agenda.
Our next order of business is to amend the agenda.,b,You may be seated.,You may be seated.,Our next order of business is to amend the agenda.,Is there a motion to amend the agenda?
Our next order of business is to amend the agenda.,b,You may be seated.,Our next order of business is to amend the agenda.,Is there a motion to amend the agenda?,So moved Second.
Is there a motion to amend the agenda?,i,Our next order of business is to amend the agenda.,Our next order of business is to amend the agenda.,So moved Second.,All those in favor: Aye.
So moved Second.,i,Our next order of business is to amend the agenda.,Is there a motion to amend the agenda?,All those in favor: Aye.,buzzing Councilman Mosley.
All those in favor: Aye.,i,Is there a motion to amend the agenda?,So moved Second.,buzzing Councilman Mosley.,Councilman Mosley presents.
buzzing Councilman Mosley.,i,So moved Second.,All those in favor: Aye.,Councilman Mosley presents.,"be it further resolved that the Council of the City of Pittsburgh does hereby declare Friday, May 2 2025 to be Bessie Lee Harris Day in the City of Pittsburgh."
Councilman Mosley presents.,b,All those in favor: Aye.,buzzing Councilman Mosley.,"be it further resolved that the Council of the City of Pittsburgh does hereby declare Friday, May 2 2025 to be Bessie Lee Harris Day in the City of Pittsburgh.",Is there a motion to approve?
"be it further resolved that the Council of the City of Pittsburgh does hereby declare Friday, May 2 2025 to be Bessie Lee Harris Day in the City of Pittsburgh.",b,buzzing Councilman Mosley.,Councilman Mosley presents.,Is there a motion to approve?,So moved.
Is there a motion to approve?,i,Councilman Mosley presents.,"be it further resolved that the Council of the City of Pittsburgh does hereby declare Friday, May 2 2025 to be Bessie Lee Harris Day in the City of Pittsburgh.",So moved.,Second.
So moved.,i,"be it further resolved that the Council of the City of Pittsburgh does hereby declare Friday, May 2 2025 to be Bessie Lee Harris Day in the City of Pittsburgh.",Is there a motion to approve?,Second.,All in favor: Aye.
Second.,i,Is there a motion to approve?,So moved.,All in favor: Aye.,Those opposed: vote no.
All in favor: Aye.,i,So moved.,Second.,Those opposed: vote no.,"Aye, Aye."
Those opposed: vote no.,i,Second.,All in favor: Aye.,"Aye, Aye.",Proclamation is approved.
"Aye, Aye.",i,All in favor: Aye.,Those opposed: vote no.,Proclamation is approved.,The next order of business is public comment.
Proclamation is approved.,b,Those opposed: vote no.,"Aye, Aye.",The next order of business is public comment.,"I would like to remind everyone that the rules of council state that comments are limited to matters of concern, official action or deliberation which may be before city council."
The next order of business is public comment.,p,"Aye, Aye.",Proclamation is approved.,"I would like to remind everyone that the rules of council state that comments are limited to matters of concern, official action or deliberation which may be before city council.",Profanity will not be permitted.
"I would like to remind everyone that the rules of council state that comments are limited to matters of concern, official action or deliberation which may be before city council.",p,Proclamation is approved.,The next order of business is public comment.,Profanity will not be permitted.,"When you are called to speak, please state your name and neighborhood for the record."
Profanity will not be permitted.,p,The next order of business is public comment.,"I would like to remind everyone that the rules of council state that comments are limited to matters of concern, official action or deliberation which may be before city council.","When you are called to speak, please state your name and neighborhood for the record.",You will have three minutes to speak.
"When you are called to speak, please state your name and neighborhood for the record.",p,"I would like to remind everyone that the rules of council state that comments are limited to matters of concern, official action or deliberation which may be before city council.",Profanity will not be permitted.,You will have three minutes to speak.,Our first registered speaker is Dr Ronald M Miller.
You will have three minutes to speak.,p,Profanity will not be permitted.,"When you are called to speak, please state your name and neighborhood for the record.",Our first registered speaker is Dr Ronald M Miller.,"Dr Ronald M Miller Bell Suver, Pittsburgh, Pennsylvania."
Our first registered speaker is Dr Ronald M Miller.,p,"When you are called to speak, please state your name and neighborhood for the record.",You will have three minutes to speak.,"Dr Ronald M Miller Bell Suver, Pittsburgh, Pennsylvania.","Yes, USA and Frankfurt, Deutschland."
"Dr Ronald M Miller Bell Suver, Pittsburgh, Pennsylvania.",p,You will have three minutes to speak.,Our first registered speaker is Dr Ronald M Miller.,"Yes, USA and Frankfurt, Deutschland.",Are these global cities?
"Yes, USA and Frankfurt, Deutschland.",i,Our first registered speaker is Dr Ronald M Miller.,"Dr Ronald M Miller Bell Suver, Pittsburgh, Pennsylvania.",Are these global cities?,Are we supposed to be a global city here?
Are these global cities?,i,"Dr Ronald M Miller Bell Suver, Pittsburgh, Pennsylvania.","Yes, USA and Frankfurt, Deutschland.",Are we supposed to be a global city here?,Global Intelligence Society- candidate for president 2028.
Are we supposed to be a global city here?,i,"Yes, USA and Frankfurt, Deutschland.",Are these global cities?,Global Intelligence Society- candidate for president 2028.,Globalinformationintelligencenetworknet: I taught global societies and invented it at the University of Pittsburgh.
Global Intelligence Society- candidate for president 2028.,b,Are these global cities?,Are we supposed to be a global city here?,Globalinformationintelligencenetworknet: I taught global societies and invented it at the University of Pittsburgh.,"Structor Concerns of council include local government, neighborhoods, international, city, city allies."
Globalinformationintelligencenetworknet: I taught global societies and invented it at the University of Pittsburgh.,i,Are we supposed to be a global city here?,Global Intelligence Society- candidate for president 2028.,"Structor Concerns of council include local government, neighborhoods, international, city, city allies.","This is consistent with Three initiatives of mine for 2028: Local, non-party government, Neighborhood elected councils and city ally and country alliances amplified."
"Structor Concerns of council include local government, neighborhoods, international, city, city allies.",i,Global Intelligence Society- candidate for president 2028.,Globalinformationintelligencenetworknet: I taught global societies and invented it at the University of Pittsburgh.,"This is consistent with Three initiatives of mine for 2028: Local, non-party government, Neighborhood elected councils and city ally and country alliances amplified.",Local protests in US streets are safety negative.
"This is consistent with Three initiatives of mine for 2028: Local, non-party government, Neighborhood elected councils and city ally and country alliances amplified.",i,Globalinformationintelligencenetworknet: I taught global societies and invented it at the University of Pittsburgh.,"Structor Concerns of council include local government, neighborhoods, international, city, city allies.",Local protests in US streets are safety negative.,Local pressure to get laws changed.
Local protests in US streets are safety negative.,b,"Structor Concerns of council include local government, neighborhoods, international, city, city allies.","This is consistent with Three initiatives of mine for 2028: Local, non-party government, Neighborhood elected councils and city ally and country alliances amplified.",Local pressure to get laws changed.,City council meetings are safety positive.
Local pressure to get laws changed.,b,"This is consistent with Three initiatives of mine for 2028: Local, non-party government, Neighborhood elected councils and city ally and country alliances amplified.",Local protests in US streets are safety negative.,City council meetings are safety positive.,I appreciate what the SEIU has done and is doing on that point.
City council meetings are safety positive.,b,Local protests in US streets are safety negative.,Local pressure to get laws changed.,I appreciate what the SEIU has done and is doing on that point.,I am not the only one.
