sentence,classification,prev2,prev1,next1,next2
"Good afternoon and welcome to Pittsburgh City Council's cablecast post agenda on Pittsburgh Waters flood mitigation projects for today, April 22nd 2025.",b,,,"We are joined today by Councilmember Sharland, and if we could have our folks from PWSA and the Army Corps of Engineers come on up to the table.","Thank you, Do we have Here?"
"We are joined today by Councilmember Sharland, and if we could have our folks from PWSA and the Army Corps of Engineers come on up to the table.",b,,"Good afternoon and welcome to Pittsburgh City Council's cablecast post agenda on Pittsburgh Waters flood mitigation projects for today, April 22nd 2025.","Thank you, Do we have Here?","we go, All righty, Great, Oh yeah, does someone want to come down to this one here?"
"Thank you, Do we have Here?",p,"Good afternoon and welcome to Pittsburgh City Council's cablecast post agenda on Pittsburgh Waters flood mitigation projects for today, April 22nd 2025.","We are joined today by Councilmember Sharland, and if we could have our folks from PWSA and the Army Corps of Engineers come on up to the table.","we go, All righty, Great, Oh yeah, does someone want to come down to this one here?","Yeah, maybe just everyone slide down."
"we go, All righty, Great, Oh yeah, does someone want to come down to this one here?",i,"We are joined today by Councilmember Sharland, and if we could have our folks from PWSA and the Army Corps of Engineers come on up to the table.","Thank you, Do we have Here?","Yeah, maybe just everyone slide down.",What are we doing?
"Yeah, maybe just everyone slide down.",i,"Thank you, Do we have Here?","we go, All righty, Great, Oh yeah, does someone want to come down to this one here?",What are we doing?,I don't know.
What are we doing?,b,"we go, All righty, Great, Oh yeah, does someone want to come down to this one here?","Yeah, maybe just everyone slide down.",I don't know.,"All right, it's okay, Great, So, yeah."
I don't know.,i,"Yeah, maybe just everyone slide down.",What are we doing?,"All right, it's okay, Great, So, yeah.","so just to sort of start off to say you know sort of why we're having this post agenda is it was announced by Pittsburgh Water that there's going to be a- I'll say a pause on a number of flood mitigation projects around the city, And one of those is in Pittsburgh."
"All right, it's okay, Great, So, yeah.",i,What are we doing?,I don't know.,"so just to sort of start off to say you know sort of why we're having this post agenda is it was announced by Pittsburgh Water that there's going to be a- I'll say a pause on a number of flood mitigation projects around the city, And one of those is in Pittsburgh.","Okay, Okay, Okay, In my district, in Four Mile Run, And so that's why obviously it's of interest to me, but I know that there are a number across the city, So that's, I thought that this would be a good idea."
"so just to sort of start off to say you know sort of why we're having this post agenda is it was announced by Pittsburgh Water that there's going to be a- I'll say a pause on a number of flood mitigation projects around the city, And one of those is in Pittsburgh.",b,I don't know.,"All right, it's okay, Great, So, yeah.","Okay, Okay, Okay, In my district, in Four Mile Run, And so that's why obviously it's of interest to me, but I know that there are a number across the city, So that's, I thought that this would be a good idea.","So why don't we have everybody go down the line and introduce yourselves, and then we'll let you, you know, give any presentations or whatnot that you have, and then members can ask questions then, Okay, Thanks, Yeah, I'm Tony Eagle."
"Okay, Okay, Okay, In my district, in Four Mile Run, And so that's why obviously it's of interest to me, but I know that there are a number across the city, So that's, I thought that this would be a good idea.",b,"All right, it's okay, Great, So, yeah.","so just to sort of start off to say you know sort of why we're having this post agenda is it was announced by Pittsburgh Water that there's going to be a- I'll say a pause on a number of flood mitigation projects around the city, And one of those is in Pittsburgh.","So why don't we have everybody go down the line and introduce yourselves, and then we'll let you, you know, give any presentations or whatnot that you have, and then members can ask questions then, Okay, Thanks, Yeah, I'm Tony Eagle.",I'm the Senior Group Manager for Stormwater for Pittsburgh Water.
